,Date,Close,Volume
0,2015-12-14,3.8175,1013
1,2015-12-11,3.73,2061
2,2015-12-10,3.7725,2951
3,2015-12-09,3.7175,3550
4,2015-12-08,3.7,3115
5,2015-12-07,3.685,3397
6,2015-12-04,3.7625,4951
7,2015-12-03,3.7025,11682
8,2015-12-02,3.64,4775
9,2015-12-01,3.67,10597
10,2015-11-30,3.65,33639
11,2015-11-27,3.5925,73101
12,2015-11-25,3.66,147246
13,2015-11-24,3.6425,163371
14,2015-11-23,3.6725,177566
15,2015-11-20,3.6325,188672
16,2015-11-19,3.6425,175839
17,2015-11-18,3.6175,245397
18,2015-11-17,3.62,195761
19,2015-11-16,3.6,139156
20,2015-11-13,3.5825,165822
21,2015-11-12,3.62,264486
22,2015-11-11,3.6225,274519
23,2015-11-10,3.59,428758
24,2015-11-09,3.6675,295989
25,2015-11-06,3.73,218103
26,2015-11-05,3.745,241092
27,2015-11-04,3.805,245045
28,2015-11-03,3.805,247284
29,2015-11-02,3.765,173276
30,2015-10-30,3.8225,152847
31,2015-10-29,3.8,146184
32,2015-10-28,3.76,153094
33,2015-10-27,3.8,205737
34,2015-10-26,3.845,200132
35,2015-10-23,3.7975,171647
36,2015-10-22,3.7825,132712
37,2015-10-21,3.8075,215666
38,2015-10-20,3.7675,169213
39,2015-10-19,3.73,120046
40,2015-10-16,3.7675,142264
41,2015-10-15,3.755,123418
42,2015-10-14,3.79,137517
43,2015-10-13,3.845,148065
44,2015-10-12,3.8075,134597
45,2015-10-09,3.8275,262772
46,2015-10-08,3.9125,131351
47,2015-10-07,3.9575,146387
48,2015-10-06,3.9825,190309
49,2015-10-05,3.935,113450
50,2015-10-02,3.8925,164402
51,2015-10-01,3.8875,136427
52,2015-09-30,3.8775,268863
53,2015-09-29,3.89,128653
54,2015-09-28,3.8675,143666
55,2015-09-25,3.89,143043
56,2015-09-24,3.815,106335
57,2015-09-23,3.8325,99196
58,2015-09-22,3.805,125418
59,2015-09-21,3.845,148745
