,Date,Close,Volume
0,2016-07-14,3197,0
1,2016-07-13,3182,1
2,2016-07-12,3153,1
3,2016-07-11,3138,1
4,2016-07-08,3136,15
5,2016-07-07,3149,3
6,2016-07-06,3119,2
7,2016-07-05,3104,4
8,2016-07-01,3034,4
9,2016-06-30,3004,1
10,2016-06-29,3078,24
11,2016-06-28,3050,11
12,2016-06-27,3034,32
13,2016-06-24,3070,87
14,2016-06-23,3235,8
15,2016-06-22,3205,128
16,2016-06-21,3195,93
17,2016-06-20,3170,223
18,2016-06-17,3106,254
19,2016-06-16,3059,4582
20,2016-06-15,3160,3603
21,2016-06-14,3145,3162
22,2016-06-13,3147,6941
23,2016-06-10,3135,10062
24,2016-06-09,3116,9397
25,2016-06-08,3113,11160
26,2016-06-07,3088,14455
27,2016-06-06,3063,18024
28,2016-06-03,3031,22221
29,2016-06-02,3057,15924
30,2016-06-01,3046,20794
31,2016-05-31,3059,24348
32,2016-05-27,3005,35202
33,2016-05-26,2916,22197
34,2016-05-25,2924,13266
35,2016-05-24,2953,24407
36,2016-05-23,2959,23293
37,2016-05-20,2912,16860
38,2016-05-19,2893,20096
39,2016-05-18,2931,20632
40,2016-05-17,2899,18354
41,2016-05-16,2927,24092
42,2016-05-13,2967,19017
43,2016-05-12,3020,27167
44,2016-05-11,3070,18368
45,2016-05-10,3101,19605
46,2016-05-09,3079,16311
47,2016-05-06,3074,25307
48,2016-05-05,3158,12492
49,2016-05-04,3186,19714
50,2016-05-03,3205,18047
51,2016-05-02,3217,10135
52,2016-04-29,3233,23107
53,2016-04-28,3182,15598
54,2016-04-27,3190,16340
55,2016-04-26,3211,19769
56,2016-04-25,3167,17680
57,2016-04-22,3155,21281
58,2016-04-21,3107,22367
59,2016-04-20,3090,19790
60,2016-04-19,3079,16673
61,2016-04-18,3041,18971
62,2016-04-15,2987,18622
63,2016-04-14,2988,18584
64,2016-04-13,2954,22116
65,2016-04-12,2963,23618
66,2016-04-11,2932,21233
67,2016-04-08,2894,24253
68,2016-04-07,2872,28205
69,2016-04-06,2912,15672
70,2016-04-05,2895,20750
71,2016-04-04,2882,19577
72,2016-04-01,2892,19991
73,2016-03-31,2959,14510
74,2016-03-30,2985,12652
75,2016-03-29,2982,6770
76,2016-03-28,2980,3903
77,2016-03-24,2972,7475
78,2016-03-23,2971,11892
79,2016-03-22,3039,7946
80,2016-03-21,3074,6498
81,2016-03-18,3117,5566
82,2016-03-17,3114,11808
83,2016-03-16,3040,3610
84,2016-03-15,3053,4406
85,2016-03-14,3082,5936
86,2016-03-11,3062,7698
87,2016-03-10,3059,9284
88,2016-03-09,3019,10733
89,2016-03-08,2970,7993
90,2016-03-07,3009,6565
91,2016-03-04,3005,9833
92,2016-03-03,2951,7060
