,Date,Close,Volume
0,2015-02-20,50.34,30664
1,2015-02-19,51.16,125210
2,2015-02-18,52.14,257476
3,2015-02-17,53.53,518799
4,2015-02-13,52.78,437072
5,2015-02-12,51.21,563662
6,2015-02-11,48.84,519272
7,2015-02-10,50.02,501701
8,2015-02-09,52.86,536364
9,2015-02-06,51.69,584976
10,2015-02-05,50.48,596851
11,2015-02-04,48.45,577515
12,2015-02-03,53.05,644919
13,2015-02-02,49.57,511409
14,2015-01-30,48.24,454142
15,2015-01-29,44.53,300732
16,2015-01-28,44.45,365440
17,2015-01-27,46.23,313141
18,2015-01-26,45.15,310638
19,2015-01-23,45.59,374289
20,2015-01-22,46.31,426829
21,2015-01-21,47.78,340252
22,2015-01-20,46.47,438892
23,2015-01-16,49.13,404879
24,2015-01-15,46.73,402345
25,2015-01-14,48.96,300679
26,2015-01-13,46.51,278356
27,2015-01-12,46.76,219590
28,2015-01-09,48.99,199624
29,2015-01-08,49.28,175892
30,2015-01-07,49.08,183040
31,2015-01-06,48.46,162091
32,2015-01-05,50.52,110960
33,2015-01-02,53.11,66396
34,2014-12-31,53.7,51086
35,2014-12-30,54.53,48182
36,2014-12-29,54.03,55153
37,2014-12-26,55.13,21430
38,2014-12-24,56.22,28967
39,2014-12-23,57.48,48128
40,2014-12-22,55.63,63398
41,2014-12-19,57.48,70383
42,2014-12-18,54.7,90222
43,2014-12-17,57.13,82718
44,2014-12-16,56.55,89090
45,2014-12-15,56.64,69180
46,2014-12-12,58.41,70630
47,2014-12-11,60.52,69254
48,2014-12-10,61.42,62256
49,2014-12-09,64.15,57976
50,2014-12-08,63.38,58405
51,2014-12-05,66.08,40464
52,2014-12-04,67.03,35660
53,2014-12-03,67.56,37604
54,2014-12-02,67.15,42881
55,2014-12-01,69.21,62781
56,2014-11-28,66.41,59146
57,2014-11-26,73.82,33739
58,2014-11-25,74.25,29894
59,2014-11-24,75.97,26745
60,2014-11-21,76.67,39337
61,2014-11-20,75.82,42599
