,Date,Close,Volume
0,2018-05-08,0.8538,0
1,2018-05-07,0.8599,3
2,2018-05-04,0.8635,13
3,2018-05-03,0.8445,5
4,2018-05-02,0.8501,12
5,2018-05-01,0.8512,17
6,2018-04-30,0.8468,3
7,2018-04-27,0.8533,0
8,2018-04-26,0.8499,6
9,2018-04-25,0.8476,19
10,2018-04-24,0.8226,246
11,2018-04-23,0.8319,3444
12,2018-04-20,0.8547,5827
13,2018-04-19,0.8297,3536
14,2018-04-18,0.8274,6160
15,2018-04-17,0.8313,9763
16,2018-04-16,0.8325,12700
17,2018-04-13,0.8341,26393
18,2018-04-12,0.8369,20127
19,2018-04-11,0.8383,22891
20,2018-04-10,0.8353,30865
21,2018-04-09,0.8291,28417
22,2018-04-06,0.8254,26500
23,2018-04-05,0.8257,35612
24,2018-04-04,0.7964,43856
25,2018-04-03,0.8202,22369
26,2018-04-02,0.8097,15144
27,2018-03-29,0.8146,17467
28,2018-03-28,0.8074,17420
29,2018-03-27,0.8202,13131
30,2018-03-26,0.8178,14523
31,2018-03-23,0.8183,14903
32,2018-03-22,0.8215,12699
33,2018-03-21,0.8259,13920
34,2018-03-20,0.8308,19576
35,2018-03-19,0.8123,16728
36,2018-03-16,0.8285,10030
37,2018-03-15,0.8353,12456
38,2018-03-14,0.8344,11018
39,2018-03-13,0.8298,19947
40,2018-03-12,0.8328,14497
41,2018-03-09,0.8452,15189
42,2018-03-08,0.8512,22263
43,2018-03-07,0.8286,22478
44,2018-03-06,0.8243,40270
45,2018-03-05,0.8523,25348
46,2018-03-02,0.8209,12743
47,2018-03-01,0.8181,27301
48,2018-02-28,0.8293,18387
49,2018-02-27,0.8225,15097
50,2018-02-26,0.8215,21352
51,2018-02-23,0.8134,17338
52,2018-02-22,0.7947,16489
53,2018-02-21,0.8039,28855
54,2018-02-20,0.7896,28995
55,2018-02-16,0.7716,15352
56,2018-02-15,0.7677,20439
57,2018-02-14,0.7697,24104
58,2018-02-13,0.774,25530
59,2018-02-12,0.7745,29832
60,2018-02-09,0.7763,22380
61,2018-02-08,0.7756,34674
62,2018-02-07,0.7729,23894
63,2018-02-06,0.7738,20451
64,2018-02-05,0.779,18929
65,2018-02-02,0.7861,21074
66,2018-02-01,0.7945,22904
67,2018-01-31,0.7836,19803
68,2018-01-30,0.7797,17247
69,2018-01-29,0.7919,19852
70,2018-01-26,0.8122,12166
71,2018-01-25,0.8258,11172
72,2018-01-24,0.8291,18323
73,2018-01-23,0.8274,13654
74,2018-01-22,0.8378,8405
75,2018-01-19,0.8379,8243
76,2018-01-18,0.8299,12453
77,2018-01-17,0.8239,6379
78,2018-01-16,0.8167,9433
79,2018-01-12,0.8196,18575
80,2018-01-11,0.8296,16944
81,2018-01-10,0.7996,10550
