,Date,Close,Volume
0,2021-04-30,2.1175,0
1,2021-04-29,2.11,0
2,2021-04-28,2.11,0
3,2021-04-27,2.1175,0
4,2021-04-26,2.1275,0
5,2021-04-23,2.115,0
6,2021-04-22,2.115,0
7,2021-04-21,2.09,5
8,2021-04-20,2.07,40
9,2021-04-19,2.0525,0
10,2021-04-16,2.0075,50
11,2021-04-15,2.005,161
12,2021-04-14,1.9875,20
13,2021-04-13,1.9625,204
14,2021-04-12,1.94,65
15,2021-04-09,1.96,211
16,2021-04-08,1.965,395
17,2021-04-07,1.935,415
18,2021-04-06,1.905,350
19,2021-04-05,1.91,397
20,2021-04-02,1.9175,0
21,2021-04-01,1.9175,974
22,2021-03-31,1.9275,1213
23,2021-03-30,1.83,646
24,2021-03-29,1.86,577
25,2021-03-26,1.8775,921
26,2021-03-25,1.86,754
27,2021-03-24,1.845,870
28,2021-03-23,1.8375,719
29,2021-03-22,1.85,558
30,2021-03-19,1.87,1256
31,2021-03-18,1.85,1032
32,2021-03-17,1.8725,921
33,2021-03-16,1.88,1091
34,2021-03-15,1.8725,938
35,2021-03-12,1.8375,881
36,2021-03-11,1.83,1497
37,2021-03-10,1.7975,1215
38,2021-03-09,1.8075,969
39,2021-03-08,1.8,948
40,2021-03-05,1.785,1235
41,2021-03-04,1.73,1085
42,2021-03-03,1.77,1563
43,2021-03-02,1.7725,1761
44,2021-03-01,1.7475,727
45,2021-02-26,1.765,1059
46,2021-02-25,1.7675,1048
47,2021-02-24,1.7825,1869
48,2021-02-23,1.755,568
49,2021-02-22,1.7625,990
50,2021-02-19,1.7525,877
51,2021-02-18,1.75,1422
52,2021-02-17,1.7575,1255
53,2021-02-16,1.7525,1146
54,2021-02-12,1.7175,1695
55,2021-02-11,1.6775,725
56,2021-02-10,1.64,290
57,2021-02-09,1.7,395
58,2021-02-08,1.725,777
59,2021-02-05,1.6925,1050
60,2021-02-04,1.69,490
61,2021-02-03,1.695,595
62,2021-02-02,1.7025,772
63,2021-02-01,1.71,763
64,2021-01-29,1.715,1144
65,2021-01-28,1.6775,689
66,2021-01-27,1.665,355
67,2021-01-26,1.655,825
68,2021-01-25,1.6,440
69,2021-01-22,1.575,691
70,2021-01-21,1.6225,465
71,2021-01-20,1.6025,517
72,2021-01-19,1.6075,70
73,2021-01-15,1.6325,1155
74,2021-01-14,1.66,405
75,2021-01-13,1.6475,710
76,2021-01-12,1.6675,1030
77,2021-01-11,1.575,233
78,2021-01-08,1.5925,525
79,2021-01-07,1.5675,246
80,2021-01-06,1.5675,835
81,2021-01-05,1.565,515
82,2021-01-04,1.545,269
83,2020-12-31,1.5475,160
84,2020-12-30,1.51,306
