,Date,Close,Volume
0,2015-01-28,2.5215,205
1,2015-01-27,2.5135,314
2,2015-01-26,2.5735,182
3,2015-01-23,2.5375,216
4,2015-01-22,2.6005,180
5,2015-01-21,2.615,508
6,2015-01-20,2.6155,593
7,2015-01-16,2.654,467
8,2015-01-15,2.611,359
9,2015-01-14,2.553,328
10,2015-01-13,2.679,599
11,2015-01-12,2.763,311
12,2015-01-09,2.7905,303
13,2015-01-08,2.807,242
14,2015-01-07,2.796,463
15,2015-01-06,2.804,312
16,2015-01-05,2.793,326
17,2015-01-02,2.8385,220
18,2014-12-31,2.8385,194
19,2014-12-30,2.869,468
20,2014-12-29,2.84,535
21,2014-12-26,2.835,168
22,2014-12-24,2.8745,188
23,2014-12-23,2.895,201
24,2014-12-22,2.9,190
25,2014-12-19,2.902,309
26,2014-12-18,2.867,240
27,2014-12-17,2.8825,233
28,2014-12-16,2.8725,247
29,2014-12-15,2.8925,279
30,2014-12-12,2.945,310
31,2014-12-11,2.936,235
32,2014-12-10,2.9075,238
33,2014-12-09,2.9395,662
34,2014-12-08,2.9025,344
35,2014-12-05,2.9175,541
36,2014-12-04,2.9265,456
37,2014-12-03,2.887,442
38,2014-12-02,2.909,354
39,2014-12-01,2.9205,888
40,2014-11-28,2.861,629
41,2014-11-26,2.966,520
42,2014-11-25,2.9735,3247
43,2014-11-24,3.008,374
44,2014-11-21,3.0335,316
45,2014-11-20,3.0195,201
46,2014-11-19,3.042,311
47,2014-11-18,3.001,203
48,2014-11-17,3.038,162
49,2014-11-14,3.0445,200
50,2014-11-13,2.9955,93
51,2014-11-12,3.026,86
52,2014-11-11,3.035,182
53,2014-11-10,3.0205,243
54,2014-11-07,3.037,74
55,2014-11-06,3.016,128
56,2014-11-05,3.0075,171
57,2014-11-04,3.0185,370
58,2014-11-03,3.0655,113
59,2014-10-31,3.047,164
60,2014-10-30,3.061,68
61,2014-10-29,3.1035,52
62,2014-10-28,3.092,25
63,2014-10-27,3.0635,56
64,2014-10-24,3.041,42
65,2014-10-23,3.0415,42
66,2014-10-22,3.019,39
67,2014-10-21,3.028,64
68,2014-10-20,2.989,71
69,2014-10-17,3.004,49
70,2014-10-16,2.982,134
71,2014-10-15,3.0085,56
72,2014-10-14,3.0885,76
73,2014-10-13,3.0395,45
74,2014-10-10,3.035,58
75,2014-10-09,3.0305,46
76,2014-10-08,3.0055,47
77,2014-10-07,3.042,32
78,2014-10-06,3.0385,18
79,2014-10-03,3.0015,36
80,2014-10-02,3.002,108
81,2014-10-01,3.0395,39
82,2014-09-30,3.011,18
83,2014-09-29,3.06,32
84,2014-09-26,3.039,17
85,2014-09-25,3.033,46
86,2014-09-24,3.0575,39
87,2014-09-23,3.039,46
88,2014-09-22,3.043,36
89,2014-09-19,3.095,15
90,2014-09-18,3.097,37
91,2014-09-17,3.146,23
92,2014-09-16,3.168,49
93,2014-09-15,3.089,45
94,2014-09-12,3.1105,9
95,2014-09-11,3.097,35
96,2014-09-10,3.115,72
97,2014-09-09,3.1065,29
98,2014-09-08,3.171,75
99,2014-09-05,3.1725,18
100,2014-09-04,3.154,122
101,2014-09-03,3.1305,56
102,2014-09-02,3.1595,75
103,2014-08-29,3.165,46
104,2014-08-28,3.155,40
105,2014-08-27,3.203,117
106,2014-08-26,3.2165,20
107,2014-08-25,3.2415,16
108,2014-08-22,3.2275,17
109,2014-08-21,3.1995,8
110,2014-08-20,3.202,17
111,2014-08-19,3.1225,11
112,2014-08-18,3.1365,8
113,2014-08-15,3.128,7
114,2014-08-14,3.1155,1
115,2014-08-13,3.135,8
116,2014-08-12,3.174,17
117,2014-08-11,3.192,53
118,2014-08-08,3.1895,2
119,2014-08-07,3.188,12
120,2014-08-06,3.1765,3
121,2014-08-05,3.216,54
122,2014-08-04,3.2565,18
123,2014-08-01,3.226,8
124,2014-07-31,3.2415,11
125,2014-07-30,3.251,42
126,2014-07-29,3.2305,8
127,2014-07-28,3.255,17
128,2014-07-25,3.2505,4
129,2014-07-24,3.276,31
130,2014-07-23,3.219,3
131,2014-07-22,3.2185,10
132,2014-07-21,3.21,18
133,2014-07-18,3.194,16
134,2014-07-17,3.228,8
135,2014-07-16,3.2245,9
136,2014-07-15,3.257,29
137,2014-07-14,3.2535,23
138,2014-07-11,3.2695,5
139,2014-07-10,3.267,95
140,2014-07-09,3.2475,3
141,2014-07-08,3.2575,11
142,2014-07-07,3.263,35
143,2014-07-03,3.28,33
144,2014-07-02,3.262,17
145,2014-07-01,3.2015,5
146,2014-06-30,3.201,9
147,2014-06-27,3.166,9
148,2014-06-26,3.17,253
149,2014-06-25,3.163,297
150,2014-06-24,3.141,11
151,2014-06-23,3.139,3
152,2014-06-20,3.111,0
153,2014-06-19,3.0765,22
154,2014-06-18,3.0655,5
155,2014-06-17,3.0595,23
156,2014-06-16,3.044,0
157,2014-06-13,3.03,2
158,2014-06-12,3.019,5
159,2014-06-11,3.0355,19
160,2014-06-10,3.046,10
161,2014-06-09,3.0385,12
162,2014-06-06,3.0525,26
163,2014-06-05,3.0905,13
164,2014-06-04,3.089,10
165,2014-06-03,3.126,0
166,2014-06-02,3.1555,1
167,2014-05-30,3.107,10
168,2014-05-29,3.127,1
169,2014-05-28,3.15,0
170,2014-05-27,3.149,0
171,2014-05-23,3.1395,1
172,2014-05-22,3.1165,1
173,2014-05-21,3.105,0
174,2014-05-20,3.128,0
175,2014-05-19,3.144,0
176,2014-05-16,3.1225,1
177,2014-05-15,3.117,0
178,2014-05-14,3.135,10
179,2014-05-13,3.118,0
180,2014-05-12,3.1315,4
181,2014-05-09,3.066,1
182,2014-05-08,3.05,0
183,2014-05-07,3.0235,2
184,2014-05-06,3.0455,0
185,2014-05-05,3.0425,2
186,2014-05-02,3.06,6
187,2014-05-01,3.0125,2
188,2014-04-30,3.0205,0
189,2014-04-29,3.065,1
190,2014-04-28,3.0805,3
191,2014-04-25,3.08,1
192,2014-04-24,3.075,15
193,2014-04-23,3.0335,7
194,2014-04-22,3.0285,2
195,2014-04-21,3.0225,2
196,2014-04-17,3.029,1
197,2014-04-16,3.015,0
198,2014-04-15,2.9875,4
199,2014-04-14,3.0395,0
200,2014-04-11,3.039,0
201,2014-04-10,3.0375,0
202,2014-04-09,3.027,5
203,2014-04-08,3.0435,2
204,2014-04-07,3.0445,0
205,2014-04-04,3.0305,0
206,2014-04-03,3.0355,8
207,2014-04-02,3.053,2
208,2014-04-01,3.043,0
209,2014-03-31,3.0335,287
210,2014-03-28,3.0475,22
211,2014-03-27,3.0045,2
212,2014-03-26,2.98,2
213,2014-03-25,3.016,6
214,2014-03-24,2.9575,1
215,2014-03-21,2.9605,1
216,2014-03-20,2.9365,6
217,2014-03-19,2.993,10
218,2014-03-18,2.96,2
219,2014-03-17,2.963,1
220,2014-03-14,2.9585,19
221,2014-03-13,2.932,29
222,2014-03-12,2.97,7
223,2014-03-11,2.9635,36
224,2014-03-10,3.039,13
225,2014-03-07,3.082,1
226,2014-03-06,3.2135,0
227,2014-03-05,3.198,6
228,2014-03-04,3.206,0
229,2014-03-03,3.16,5
230,2014-02-28,3.172,2
231,2014-02-27,3.1845,0
232,2014-02-26,3.1985,4
233,2014-02-25,3.2085,5
234,2014-02-24,3.219,3
235,2014-02-21,3.2335,0
236,2014-02-20,3.241,1
237,2014-02-19,3.255,0
238,2014-02-18,3.2625,0
239,2014-02-14,3.247,0
240,2014-02-13,3.236,0
241,2014-02-12,3.2385,2
242,2014-02-11,3.206,28
243,2014-02-10,3.2175,0
244,2014-02-07,3.226,0
245,2014-02-06,3.214,6
246,2014-02-05,3.1765,0
247,2014-02-04,3.182,2
248,2014-02-03,3.1805,6
249,2014-01-31,3.192,2
250,2014-01-30,3.219,0
251,2014-01-29,3.24,0
252,2014-01-28,3.2495,0
253,2014-01-27,3.256,0
254,2014-01-24,3.2675,6
255,2014-01-23,3.277,0
256,2014-01-22,3.324,0
257,2014-01-21,3.335,0
258,2014-01-17,3.3275,0
259,2014-01-16,3.323,0
260,2014-01-15,3.338,0
261,2014-01-14,3.3155,0
262,2014-01-13,3.3235,0
263,2014-01-10,3.317,0
264,2014-01-09,3.277,0
265,2014-01-08,3.3195,0
266,2014-01-07,3.333,0
267,2014-01-06,3.33,0
268,2014-01-03,3.327,0
269,2014-01-02,3.3525,0
270,2013-12-31,3.355,0
271,2013-12-30,3.3435,0
272,2013-12-27,3.3505,0
273,2013-12-26,3.366,0
274,2013-12-24,3.3425,0
275,2013-12-23,3.2775,0
276,2013-12-20,3.2765,0
277,2013-12-19,3.27,0
278,2013-12-18,3.292,0
279,2013-12-17,3.282,0
280,2013-12-16,3.29,0
281,2013-12-13,3.278,0
282,2013-12-12,3.2695,0
283,2013-12-11,3.273,0
284,2013-12-10,3.249,0
285,2013-12-09,3.2465,0
286,2013-12-06,3.239,0
287,2013-12-05,3.2225,1
288,2013-12-04,3.2355,0
289,2013-12-03,3.176,1
290,2013-12-02,3.1915,0
291,2013-11-29,3.218,0
292,2013-11-27,3.2075,0
293,2013-11-26,3.239,0
294,2013-11-25,3.25,0
295,2013-11-22,3.2375,0
296,2013-11-21,3.22,0
297,2013-11-20,3.197,0
298,2013-11-19,3.195,1
299,2013-11-18,3.192,0
300,2013-11-15,3.2135,0
301,2013-11-14,3.204,0
302,2013-11-13,3.2035,0
303,2013-11-12,3.272,0
304,2013-11-11,3.293,0
305,2013-11-08,3.286,0
306,2013-11-07,3.278,0
307,2013-11-06,3.269,0
308,2013-11-05,3.291,2
309,2013-11-04,3.287,0
310,2013-11-01,3.3265,0
311,2013-10-31,3.3295,0
312,2013-10-30,3.353,45
313,2013-10-29,3.306,0
314,2013-10-28,3.3005,0
315,2013-10-25,3.2975,6
316,2013-10-24,3.2985,0
317,2013-10-23,3.301,0
318,2013-10-22,3.369,0
319,2013-10-21,3.3395,0
320,2013-10-18,3.3345,0
321,2013-10-17,3.3345,0
322,2013-10-16,3.3475,44
323,2013-10-15,3.3505,44
324,2013-10-14,3.3455,0
325,2013-10-11,3.315,0
326,2013-10-10,3.2985,0
327,2013-10-09,3.287,0
328,2013-10-08,3.3485,0
329,2013-10-07,3.3515,0
330,2013-10-04,3.357,0
331,2013-10-03,3.3245,0
332,2013-10-02,3.369,0
333,2013-10-01,3.323,0
334,2013-09-30,3.37,0
335,2013-09-27,3.377,0
336,2013-09-26,3.3565,0
337,2013-09-25,3.3235,0
338,2013-09-24,3.306,0
339,2013-09-23,3.346,0
340,2013-09-20,3.362,0
341,2013-09-19,3.388,0
342,2013-09-18,3.3205,0
343,2013-09-17,3.2655,0
344,2013-09-16,3.27,0
345,2013-09-13,3.257,0
346,2013-09-12,3.264,0
347,2013-09-11,3.3125,0
348,2013-09-10,3.319,0
349,2013-09-09,3.3325,0
350,2013-09-06,3.316,0
351,2013-09-05,3.299,0
352,2013-09-04,3.293,0
353,2013-09-03,3.357,0
354,2013-08-30,3.289,0
355,2013-08-29,3.3165,0
356,2013-08-28,3.365,0
357,2013-08-27,3.388,0
358,2013-08-26,3.38,0
359,2013-08-23,3.409,0
360,2013-08-22,3.3895,0
361,2013-08-21,3.3675,0
362,2013-08-20,3.3925,0
363,2013-08-19,3.3875,0
364,2013-08-16,3.413,0
365,2013-08-15,3.382,0
366,2013-08-14,3.3805,0
367,2013-08-13,3.365,0
368,2013-08-12,3.3525,0
369,2013-08-09,3.3605,0
370,2013-08-08,3.326,0
371,2013-08-07,3.236,0
372,2013-08-06,3.2385,0
373,2013-08-05,3.24,0
374,2013-08-02,3.2455,0
375,2013-08-01,3.239,0
376,2013-07-31,3.1915,0
377,2013-07-30,3.1155,0
378,2013-07-29,3.179,0
379,2013-07-26,3.1725,0
380,2013-07-25,3.252,0
381,2013-07-24,3.2445,0
382,2013-07-23,3.2615,0
383,2013-07-22,3.247,0
384,2013-07-19,3.204,0
385,2013-07-18,3.1965,0
386,2013-07-17,3.193,0
387,2013-07-16,3.25,0
388,2013-07-15,3.207,0
389,2013-07-12,3.2155,0
390,2013-07-11,3.2345,0
391,2013-07-10,3.1485,0
392,2013-07-09,3.1275,0
393,2013-07-08,3.1655,0
394,2013-07-05,3.1305,0
395,2013-07-03,3.238,0
396,2013-07-02,3.206,0
397,2013-07-01,3.2235,0
398,2013-06-28,3.135,1
399,2013-06-27,3.1375,0
400,2013-06-26,3.123,0
401,2013-06-25,3.158,0
402,2013-06-24,3.107,0
403,2013-06-21,3.179,0
404,2013-06-20,3.155,0
405,2013-06-19,3.2375,0
406,2013-06-18,3.254,0
407,2013-06-17,3.2955,0
408,2013-06-14,3.2995,0
409,2013-06-13,3.2845,0
410,2013-06-12,3.3245,0
411,2013-06-11,3.295,0
412,2013-06-10,3.3385,0
413,2013-06-07,3.364,0
414,2013-06-06,3.413,0
415,2013-06-05,3.466,44
416,2013-06-04,3.462,0
417,2013-06-03,3.4225,0
418,2013-05-31,3.384,44
419,2013-05-30,3.4035,0
420,2013-05-29,3.39,0
421,2013-05-28,3.405,0
422,2013-05-24,3.3855,0
423,2013-05-23,3.3915,0
424,2013-05-22,3.465,0
425,2013-05-21,3.43,0
426,2013-05-20,3.4445,0
427,2013-05-17,3.4065,0
428,2013-05-16,3.3785,0
429,2013-05-15,3.3495,0
430,2013-05-14,3.372,0
431,2013-05-13,3.4435,0
432,2013-05-10,3.435,0
433,2013-05-09,3.4255,0
434,2013-05-08,3.457,0
435,2013-05-07,3.3895,0
436,2013-05-06,3.399,0
437,2013-05-03,3.403,0
438,2013-05-02,3.1965,0
439,2013-05-01,3.1745,0
440,2013-04-30,3.281,0
441,2013-04-29,3.3135,0
442,2013-04-26,3.272,0
443,2013-04-25,3.3315,0
444,2013-04-24,3.2525,0
445,2013-04-23,3.192,0
446,2013-04-22,3.2375,0
447,2013-04-19,3.2585,0
448,2013-04-18,3.314,0
449,2013-04-17,3.2945,0
450,2013-04-16,3.417,0
451,2013-04-15,3.3845,0
452,2013-04-12,3.4635,0
453,2013-04-11,3.5465,0
454,2013-04-10,3.5295,0
455,2013-04-09,3.552,0
456,2013-04-08,3.4855,0
457,2013-04-05,3.4595,0
458,2013-04-04,3.4655,0
459,2013-04-03,3.447,0
460,2013-04-02,3.495,0
461,2013-04-01,3.4915,0
462,2013-03-28,3.5125,0
463,2013-03-27,3.552,0
464,2013-03-26,3.5535,0
465,2013-03-25,3.5555,0
466,2013-03-22,3.5755,0
467,2013-03-21,3.544,0
468,2013-03-20,3.555,0
469,2013-03-19,3.512,0
470,2013-03-18,3.533,0
471,2013-03-15,3.6225,0
472,2013-03-14,3.637,0
473,2013-03-13,3.6255,0
474,2013-03-12,3.656,0
475,2013-03-11,3.6195,0
476,2013-03-08,3.6075,0
477,2013-03-07,3.616,0
478,2013-03-06,3.5785,0
479,2013-03-05,3.5965,0
