,Date,Close,Volume
0,2014-06-30,2.9708,7826
1,2014-06-27,2.9976,16657
2,2014-06-26,3.0138,21612
3,2014-06-25,3.0298,28977
4,2014-06-24,3.0416,25710
5,2014-06-23,3.0326,32789
6,2014-06-20,3.0512,28660
7,2014-06-19,3.0524,39456
8,2014-06-18,3.0401,42197
9,2014-06-17,3.018,43772
10,2014-06-16,2.9979,41610
11,2014-06-13,2.9876,52185
12,2014-06-12,2.9893,84632
13,2014-06-11,2.9043,44673
14,2014-06-10,2.8841,48554
15,2014-06-09,2.8912,48754
16,2014-06-06,2.8712,49300
17,2014-06-05,2.8797,52507
18,2014-06-04,2.8481,59871
19,2014-06-03,2.8658,52886
20,2014-06-02,2.8773,49549
21,2014-05-30,2.8882,74428
22,2014-05-29,2.9199,50065
23,2014-05-28,2.9304,65124
24,2014-05-27,2.9394,50906
25,2014-05-23,2.9549,39352
26,2014-05-22,2.9501,40725
27,2014-05-21,2.9526,48142
28,2014-05-20,2.9459,35982
29,2014-05-19,2.9368,24072
30,2014-05-16,2.9486,29261
31,2014-05-15,2.9452,20215
32,2014-05-14,2.9563,23589
33,2014-05-13,2.9382,18953
34,2014-05-12,2.9132,20710
35,2014-05-09,2.9017,19579
36,2014-05-08,2.9142,25422
37,2014-05-07,2.9219,27535
38,2014-05-06,2.8837,20257
39,2014-05-05,2.9022,17695
40,2014-05-02,2.9191,17657
41,2014-05-01,2.9104,13692
42,2014-04-30,2.9237,15000
43,2014-04-29,2.9576,13999
44,2014-04-28,2.9382,12179
45,2014-04-25,2.9748,8630
46,2014-04-24,3.0038,13478
47,2014-04-23,2.9715,11399
48,2014-04-22,2.9889,12999
49,2014-04-21,2.9982,7379
50,2014-04-17,2.995,15906
51,2014-04-16,2.994,16317
52,2014-04-15,2.9726,11611
53,2014-04-14,2.9658,14405
54,2014-04-11,2.9243,12884
55,2014-04-10,2.9319,11505
56,2014-04-09,2.9448,15511
57,2014-04-08,2.9288,10800
58,2014-04-07,2.8858,9502
59,2014-04-04,2.9,9035
60,2014-04-03,2.8969,7963
61,2014-04-02,2.8589,12908
62,2014-04-01,2.8792,8782
63,2014-03-31,2.9234,5000
64,2014-03-28,2.9371,6122
65,2014-03-27,2.9329,6589
66,2014-03-26,2.9121,6083
67,2014-03-25,2.9145,7083
68,2014-03-24,2.9046,6408
69,2014-03-21,2.9045,6277
70,2014-03-20,2.9021,8140
71,2014-03-19,2.8831,8815
72,2014-03-18,2.8972,6921
73,2014-03-17,2.8718,7087
74,2014-03-14,2.9179,7554
75,2014-03-13,2.8957,7857
76,2014-03-12,2.9089,11381
77,2014-03-11,2.9324,9642
78,2014-03-10,2.9256,10664
79,2014-03-07,2.9517,6750
80,2014-03-06,2.9279,8305
81,2014-03-05,2.9285,6620
82,2014-03-04,2.9702,7705
83,2014-03-03,3.019,9004
84,2014-02-28,2.969,5852
85,2014-02-27,2.9608,6187
86,2014-02-26,2.9822,6764
87,2014-02-25,2.9837,3428
88,2014-02-24,3.0109,4461
89,2014-02-21,2.9926,6551
90,2014-02-20,3.0204,8780
91,2014-02-19,3.0186,6280
92,2014-02-18,3.0096,4751
93,2014-02-14,2.9812,3798
94,2014-02-13,2.965,4770
95,2014-02-12,2.9584,6367
96,2014-02-11,2.9622,4969
97,2014-02-10,2.9471,7965
98,2014-02-07,2.9665,5506
99,2014-02-06,2.9072,4764
100,2014-02-05,2.8971,5172
101,2014-02-04,2.876,5652
102,2014-02-03,2.8896,5728
103,2014-01-31,2.8931,5239
104,2014-01-30,2.927,3145
105,2014-01-29,2.9247,3340
106,2014-01-28,2.9176,3021
107,2014-01-27,2.8954,5703
108,2014-01-24,2.9202,3948
109,2014-01-23,2.9155,3572
110,2014-01-22,2.9235,2737
111,2014-01-21,2.8949,5683
112,2014-01-17,2.8939,3111
113,2014-01-16,2.884,4401
114,2014-01-15,2.8995,3634
115,2014-01-14,2.8715,2726
116,2014-01-13,2.8798,4050
117,2014-01-10,2.8948,1814
118,2014-01-09,2.8795,3827
119,2014-01-08,2.9012,2530
120,2014-01-07,2.9077,2972
121,2014-01-06,2.8976,2844
122,2014-01-03,2.8967,1853
123,2014-01-02,2.9392,1369
124,2013-12-31,3.0182,1033
125,2013-12-30,3.01,886
126,2013-12-27,3.0349,1497
127,2013-12-26,3.0261,393
128,2013-12-24,3.0226,392
129,2013-12-23,3.0091,1696
130,2013-12-20,3.0137,2488
131,2013-12-19,2.9792,1019
132,2013-12-18,2.97,1426
133,2013-12-17,2.9362,1200
134,2013-12-16,2.9596,895
135,2013-12-13,2.9477,1961
136,2013-12-12,2.9586,1347
137,2013-12-11,2.9947,1519
138,2013-12-10,2.9862,844
139,2013-12-09,2.9805,756
140,2013-12-06,3.0183,718
141,2013-12-05,3.0107,827
142,2013-12-04,3.0185,1427
143,2013-12-03,3.0269,1724
144,2013-12-02,3.0065,1724
145,2013-11-29,2.9794,155
146,2013-11-27,2.9906,1424
147,2013-11-26,2.9894,1138
148,2013-11-25,2.9728,1320
149,2013-11-22,2.9833,1596
150,2013-11-21,2.9562,1574
151,2013-11-20,2.9149,600
152,2013-11-19,2.8885,544
153,2013-11-18,2.9095,251
154,2013-11-15,2.9238,1833
155,2013-11-14,2.9169,541
156,2013-11-13,2.8912,1005
157,2013-11-12,2.8544,1303
158,2013-11-11,2.8829,950
159,2013-11-08,2.8632,785
160,2013-11-07,2.8413,824
161,2013-11-06,2.8646,723
162,2013-11-05,2.8599,982
163,2013-11-04,2.8678,506
164,2013-11-01,2.8645,603
165,2013-10-31,2.9185,85
166,2013-10-30,2.9382,172
167,2013-10-29,2.9235,243
168,2013-10-28,2.9296,279
169,2013-10-25,2.8861,817
170,2013-10-24,2.8782,350
171,2013-10-23,2.89,770
172,2013-10-22,2.9459,452
173,2013-10-21,2.9498,205
174,2013-10-18,2.9638,518
175,2013-10-17,2.9429,258
176,2013-10-16,2.9786,353
177,2013-10-15,2.9444,177
178,2013-10-14,2.9586,169
179,2013-10-11,2.9648,211
180,2013-10-10,2.9892,694
181,2013-10-09,2.9398,671
182,2013-10-08,2.953,311
183,2013-10-07,2.9344,156
184,2013-10-04,2.9175,273
185,2013-10-03,2.9125,136
186,2013-10-02,2.9155,235
187,2013-10-01,2.887,157
188,2013-09-30,2.8936,223
189,2013-09-27,2.8975,367
190,2013-09-26,2.909,222
191,2013-09-25,2.8878,365
192,2013-09-24,2.8877,162
193,2013-09-23,2.8857,325
194,2013-09-20,2.9228,820
195,2013-09-19,2.9221,156
196,2013-09-18,2.9546,407
197,2013-09-17,2.9035,735
198,2013-09-16,2.9443,355
199,2013-09-13,2.9748,70
200,2013-09-12,2.9831,63
201,2013-09-11,2.9498,146
202,2013-09-10,2.9529,679
203,2013-09-09,2.9882,107
204,2013-09-06,3.0204,45
205,2013-09-05,3.0054,43
206,2013-09-04,3.0032,176
207,2013-09-03,3.0053,89
208,2013-08-30,2.9925,176
209,2013-08-29,3.0164,775
210,2013-08-28,3.0489,954
211,2013-08-27,3.0304,41
212,2013-08-26,2.979,25
213,2013-08-23,2.9875,266
214,2013-08-22,2.9744,301
215,2013-08-21,2.9737,88
216,2013-08-20,2.9783,44
217,2013-08-19,2.9772,18
218,2013-08-16,2.9932,97
219,2013-08-15,2.9867,77
220,2013-08-14,2.9646,141
221,2013-08-13,2.9586,50
222,2013-08-12,2.9376,382
223,2013-08-09,2.9195,96
224,2013-08-08,2.8995,99
225,2013-08-07,2.9074,88
226,2013-08-06,2.9392,110
227,2013-08-05,2.9706,329
228,2013-08-02,2.9735,21
229,2013-08-01,2.9858,44
230,2013-07-31,2.9642,77
231,2013-07-30,2.9277,58
232,2013-07-29,2.9332,46
233,2013-07-26,2.9305,66
234,2013-07-25,2.954,36
235,2013-07-24,2.9544,71
236,2013-07-23,2.9693,63
237,2013-07-22,2.9609,40
238,2013-07-19,2.9684,35
239,2013-07-18,2.9772,57
240,2013-07-17,2.9647,30
241,2013-07-16,2.9488,12
242,2013-07-15,2.9433,39
243,2013-07-12,2.9462,45
244,2013-07-11,2.9335,17
245,2013-07-10,2.9378,25
246,2013-07-09,2.923,96
247,2013-07-08,2.9157,261
248,2013-07-05,2.9147,57
249,2013-07-03,2.8935,141
250,2013-07-02,2.8619,23
251,2013-07-01,2.8386,50
252,2013-06-28,2.8203,124
253,2013-06-27,2.844,158
254,2013-06-26,2.8188,205
255,2013-06-25,2.8152,63
256,2013-06-24,2.8078,91
257,2013-06-21,2.8006,23
258,2013-06-20,2.8343,48
259,2013-06-19,2.926,46
260,2013-06-18,2.924,18
261,2013-06-17,2.9107,45
262,2013-06-14,2.9217,21
263,2013-06-13,2.9089,127
264,2013-06-12,2.8848,23
265,2013-06-11,2.8591,15
266,2013-06-10,2.8829,30
267,2013-06-07,2.8872,15
268,2013-06-06,2.8721,26
269,2013-06-05,2.8569,14
270,2013-06-04,2.8601,8
271,2013-06-03,2.844,70
272,2013-05-31,2.8036,297
273,2013-05-30,2.8511,229
274,2013-05-29,2.8528,51
275,2013-05-28,2.8949,63
276,2013-05-24,2.8599,4
277,2013-05-23,2.8638,333
278,2013-05-22,2.8712,2
279,2013-05-21,2.9002,56
280,2013-05-20,2.9159,2
281,2013-05-17,2.9149,9
282,2013-05-16,2.8971,7
