,Date,Close,Volume
0,2018-07-11,1.667,21
1,2018-07-10,1.6675,8
2,2018-07-09,1.6875,22
3,2018-07-06,1.684,219
4,2018-07-05,1.6805,0
5,2018-07-03,1.665,306
6,2018-07-02,1.658,5
7,2018-06-29,1.5955,211
8,2018-06-28,1.593,311
9,2018-06-27,1.574,603
10,2018-06-26,1.559,588
11,2018-06-25,1.573,564
12,2018-06-22,1.607,349
13,2018-06-21,1.554,753
14,2018-06-20,1.5695,956
15,2018-06-19,1.569,591
16,2018-06-18,1.58,1192
17,2018-06-15,1.599,1239
18,2018-06-14,1.555,2112
19,2018-06-13,1.5325,1144
20,2018-06-12,1.543,1832
21,2018-06-11,1.57,1328
22,2018-06-08,1.592,1136
23,2018-06-07,1.6485,496
24,2018-06-06,1.659,599
25,2018-06-05,1.65,943
26,2018-06-04,1.652,685
27,2018-06-01,1.653,921
28,2018-05-31,1.618,928
29,2018-05-30,1.627,1677
30,2018-05-29,1.699,842
31,2018-05-25,1.693,432
32,2018-05-24,1.684,588
33,2018-05-23,1.69,446
34,2018-05-22,1.6855,598
35,2018-05-21,1.6745,653
36,2018-05-18,1.662,869
37,2018-05-17,1.6995,401
38,2018-05-16,1.7005,696
39,2018-05-15,1.699,712
40,2018-05-14,1.7135,698
41,2018-05-11,1.6935,927
42,2018-05-10,1.6795,1270
43,2018-05-09,1.6665,1201
44,2018-05-08,1.614,1205
45,2018-05-07,1.646,1078
46,2018-05-04,1.619,1611
47,2018-05-03,1.591,1521
48,2018-05-02,1.6025,1195
49,2018-05-01,1.58,1519
50,2018-04-30,1.557,1067
51,2018-04-27,1.5385,1660
52,2018-04-26,1.5385,1944
53,2018-04-25,1.4885,1765
54,2018-04-24,1.48,1790
55,2018-04-23,1.4595,1095
56,2018-04-20,1.4305,720
57,2018-04-19,1.4275,802
58,2018-04-18,1.4465,785
59,2018-04-17,1.4565,727
60,2018-04-16,1.433,1053
61,2018-04-13,1.411,719
62,2018-04-12,1.4035,480
63,2018-04-11,1.399,460
64,2018-04-10,1.39,413
65,2018-04-09,1.3915,200
66,2018-04-06,1.3845,359
67,2018-04-05,1.3875,392
68,2018-04-04,1.397,399
69,2018-04-03,1.3935,272
70,2018-04-02,1.401,402
71,2018-03-29,1.4155,68
72,2018-03-28,1.412,185
73,2018-03-27,1.38,101
74,2018-03-26,1.384,174
75,2018-03-23,1.361,211
76,2018-03-22,1.368,240
77,2018-03-21,1.377,95
78,2018-03-20,1.3785,52
79,2018-03-19,1.3825,94
80,2018-03-16,1.3855,189
81,2018-03-15,1.39,52
82,2018-03-14,1.394,130
83,2018-03-13,1.386,130
84,2018-03-12,1.3905,45
85,2018-03-09,1.404,134
86,2018-03-08,1.3945,183
87,2018-03-07,1.4195,60
88,2018-03-06,1.4245,81
89,2018-03-05,1.4045,164
90,2018-03-02,1.3935,298
91,2018-03-01,1.4145,244
92,2018-02-28,1.446,84
93,2018-02-27,1.44,58
94,2018-02-26,1.4455,101
95,2018-02-23,1.4525,190
96,2018-02-22,1.4465,100
97,2018-02-21,1.427,60
98,2018-02-20,1.4665,98
99,2018-02-16,1.5015,86
100,2018-02-15,1.4815,205
101,2018-02-14,1.4845,189
102,2018-02-13,1.484,128
103,2018-02-12,1.4965,24
104,2018-02-09,1.489,105
105,2018-02-08,1.4855,83
106,2018-02-07,1.474,77
107,2018-02-06,1.4805,36
108,2018-02-05,1.4575,60
109,2018-02-02,1.4895,82
110,2018-02-01,1.5025,27
111,2018-01-31,1.507,92
112,2018-01-30,1.496,119
113,2018-01-29,1.526,41
114,2018-01-26,1.502,55
115,2018-01-25,1.5035,58
116,2018-01-24,1.49,80
117,2018-01-23,1.49,26
118,2018-01-22,1.486,22
119,2018-01-19,1.4685,26
120,2018-01-18,1.4525,54
121,2018-01-17,1.4015,39
122,2018-01-16,1.4065,32
123,2018-01-12,1.38,3
124,2018-01-11,1.381,16
125,2018-01-10,1.382,24
126,2018-01-09,1.3755,51
127,2018-01-08,1.4,15
128,2018-01-05,1.392,125
129,2018-01-04,1.3935,81
130,2018-01-03,1.409,68
131,2018-01-02,1.3925,43
132,2017-12-29,1.3965,36
133,2017-12-28,1.3865,52
134,2017-12-27,1.3545,46
135,2017-12-26,1.3635,12
136,2017-12-22,1.38,14
137,2017-12-21,1.384,38
138,2017-12-20,1.401,52
139,2017-12-19,1.4155,49
140,2017-12-18,1.421,18
141,2017-12-15,1.4605,69
142,2017-12-14,1.4795,66
143,2017-12-13,1.5035,23
144,2017-12-12,1.5085,10
145,2017-12-11,1.5215,2
146,2017-12-08,1.536,2
147,2017-12-07,1.5405,2
148,2017-12-06,1.5795,4
149,2017-12-05,1.6175,0
150,2017-12-04,1.617,3
151,2017-12-01,1.622,3
152,2017-11-30,1.6025,1
153,2017-11-29,1.6345,0
154,2017-11-28,1.63,0
155,2017-11-27,1.647,3
156,2017-11-24,1.637,2
157,2017-11-22,1.645,8
158,2017-11-21,1.6495,15
159,2017-11-20,1.646,0
160,2017-11-17,1.644,0
161,2017-11-16,1.6345,26
162,2017-11-15,1.6195,16
163,2017-11-14,1.6085,0
164,2017-11-13,1.595,22
165,2017-11-10,1.604,21
166,2017-11-09,1.5945,3
167,2017-11-08,1.5865,0
168,2017-11-07,1.5865,7
169,2017-11-06,1.587,12
170,2017-11-03,1.573,0
171,2017-11-02,1.5615,6
172,2017-11-01,1.533,4
173,2017-10-31,1.555,0
174,2017-10-30,1.5555,0
175,2017-10-27,1.55,3
176,2017-10-26,1.5485,0
177,2017-10-25,1.5355,0
178,2017-10-24,1.523,6
179,2017-10-23,1.549,3
180,2017-10-20,1.5705,0
181,2017-10-19,1.546,0
182,2017-10-18,1.533,7
183,2017-10-17,1.5565,1
