,Date,Close,Volume
0,2016-05-18,1.293,16
1,2016-05-17,1.3185,2
2,2016-05-16,1.327,12
3,2016-05-13,1.288,7
4,2016-05-12,1.282,11
5,2016-05-11,1.279,0
6,2016-05-10,1.269,10
7,2016-05-09,1.2515,10
8,2016-05-06,1.2345,247
9,2016-05-05,1.209,2
10,2016-05-04,1.191,8
11,2016-05-03,1.186,36
12,2016-05-02,1.191,33
13,2016-04-29,1.2085,67
14,2016-04-28,1.204,83
15,2016-04-27,1.2105,45
16,2016-04-26,1.2525,121
17,2016-04-25,1.231,84
18,2016-04-22,1.2275,229
19,2016-04-21,1.2355,620
20,2016-04-20,1.2715,10864
21,2016-04-19,1.2585,7821
22,2016-04-18,1.24,7800
23,2016-04-15,1.2295,9433
24,2016-04-14,1.2315,14009
25,2016-04-13,1.2175,22869
26,2016-04-12,1.246,23904
27,2016-04-11,1.2335,26126
28,2016-04-08,1.2045,30666
29,2016-04-07,1.198,33162
30,2016-04-06,1.215,18451
31,2016-04-05,1.209,26462
32,2016-04-04,1.228,25563
33,2016-04-01,1.2725,24289
34,2016-03-31,1.2745,17677
35,2016-03-30,1.27,23135
36,2016-03-29,1.2745,14110
37,2016-03-28,1.2855,17887
38,2016-03-24,1.2755,19038
39,2016-03-23,1.311,19204
40,2016-03-22,1.3465,18662
41,2016-03-21,1.3155,22079
42,2016-03-18,1.343,22596
43,2016-03-17,1.3255,37821
44,2016-03-16,1.2905,28241
45,2016-03-15,1.257,21794
46,2016-03-14,1.272,25791
47,2016-03-11,1.258,26167
48,2016-03-10,1.2215,22763
49,2016-03-09,1.2235,18325
50,2016-03-08,1.217,18837
51,2016-03-07,1.209,21896
52,2016-03-04,1.2105,22671
53,2016-03-03,1.1785,20382
54,2016-03-02,1.1555,13877
55,2016-03-01,1.1475,20890
56,2016-02-29,1.1505,18347
57,2016-02-26,1.152,14425
58,2016-02-25,1.1615,16766
59,2016-02-24,1.17,19481
60,2016-02-23,1.1925,13287
61,2016-02-22,1.206,20286
62,2016-02-19,1.1655,17365
63,2016-02-18,1.161,23641
64,2016-02-17,1.166,29361
65,2016-02-16,1.17,33028
66,2016-02-12,1.175,32844
67,2016-02-11,1.15,30142
68,2016-02-10,1.1685,19885
69,2016-02-09,1.1685,18796
70,2016-02-08,1.1795,25622
71,2016-02-05,1.224,17228
72,2016-02-04,1.2515,14532
73,2016-02-03,1.235,14724
74,2016-02-02,1.219,13149
75,2016-02-01,1.1985,8860
76,2016-01-29,1.185,8101
77,2016-01-28,1.213,8930
78,2016-01-27,1.2035,11557
79,2016-01-26,1.1885,9755
80,2016-01-25,1.187,5541
81,2016-01-22,1.1825,9043
82,2016-01-21,1.166,7183
83,2016-01-20,1.139,9223
84,2016-01-19,1.179,5175
85,2016-01-15,1.1715,4506
86,2016-01-14,1.1815,7744
87,2016-01-13,1.171,6378
88,2016-01-12,1.167,9086
89,2016-01-11,1.168,12739
90,2016-01-08,1.212,6706
91,2016-01-07,1.206,4524
92,2016-01-06,1.221,4668
93,2016-01-05,1.251,3720
94,2016-01-04,1.26,5799
95,2015-12-31,1.288,3194
96,2015-12-30,1.2575,2542
97,2015-12-29,1.236,1252
98,2015-12-28,1.214,531
99,2015-12-24,1.2195,1199
100,2015-12-23,1.231,1864
101,2015-12-22,1.2135,3072
102,2015-12-21,1.1975,2376
103,2015-12-18,1.213,3034
104,2015-12-17,1.2055,2165
105,2015-12-16,1.215,2881
106,2015-12-15,1.221,2418
107,2015-12-14,1.221,4534
108,2015-12-11,1.233,3236
109,2015-12-10,1.284,1489
110,2015-12-09,1.289,1486
111,2015-12-08,1.2735,2211
112,2015-12-07,1.2815,2629
113,2015-12-04,1.291,1991
114,2015-12-03,1.2705,2331
115,2015-12-02,1.2265,1147
116,2015-12-01,1.2205,2042
117,2015-11-30,1.218,3901
118,2015-11-27,1.2575,1267
119,2015-11-25,1.276,4646
120,2015-11-24,1.267,2147
121,2015-11-23,1.2465,1458
122,2015-11-20,1.2655,3682
123,2015-11-19,1.2435,3503
124,2015-11-18,1.1795,5200
125,2015-11-17,1.2045,4271
126,2015-11-16,1.204,4904
127,2015-11-13,1.18,6399
128,2015-11-12,1.2095,6472
129,2015-11-11,1.224,4932
130,2015-11-10,1.22,5905
131,2015-11-09,1.236,5986
132,2015-11-06,1.2335,5111
133,2015-11-05,1.2635,7005
134,2015-11-04,1.2595,2772
135,2015-11-03,1.257,2921
136,2015-11-02,1.242,2272
137,2015-10-30,1.263,1957
138,2015-10-29,1.257,1272
139,2015-10-28,1.245,2089
140,2015-10-27,1.227,2145
141,2015-10-26,1.2285,1737
142,2015-10-23,1.24,1338
143,2015-10-22,1.253,2958
144,2015-10-21,1.2645,1909
145,2015-10-20,1.3015,2240
146,2015-10-19,1.2935,2419
147,2015-10-16,1.3115,2432
148,2015-10-15,1.39,2456
149,2015-10-14,1.4005,1992
150,2015-10-13,1.398,952
151,2015-10-12,1.399,1588
152,2015-10-09,1.3695,1188
153,2015-10-08,1.337,1368
154,2015-10-07,1.3135,1926
155,2015-10-06,1.333,2629
156,2015-10-05,1.328,1201
157,2015-10-02,1.295,1045
158,2015-10-01,1.2595,792
159,2015-09-30,1.265,684
160,2015-09-29,1.261,1070
161,2015-09-28,1.2465,875
162,2015-09-25,1.2795,2186
163,2015-09-24,1.2365,1632
164,2015-09-23,1.2165,1831
165,2015-09-22,1.21,2624
166,2015-09-21,1.2285,1259
167,2015-09-18,1.2405,830
168,2015-09-17,1.242,1703
169,2015-09-16,1.2375,463
170,2015-09-15,1.243,1336
171,2015-09-14,1.2595,2323
172,2015-09-11,1.223,2773
173,2015-09-10,1.222,3600
174,2015-09-09,1.268,1824
175,2015-09-08,1.267,1855
176,2015-09-04,1.249,744
177,2015-09-03,1.253,1939
