,Date,Close,Volume
0,2014-01-15,361,62
1,2014-01-14,361.2,59
2,2014-01-13,362.6,88
3,2014-01-10,362.2,118
4,2014-01-09,365.5,130
5,2014-01-08,356,153
6,2014-01-07,354.2,103
7,2014-01-06,352,266
8,2014-01-03,356.8,97
9,2014-01-02,353.3,267
10,2013-12-31,360.1,202
11,2013-12-30,365.2,259
12,2013-12-27,368.3,189
13,2013-12-26,375,50
14,2013-12-24,374.7,66
15,2013-12-23,375,197
16,2013-12-20,373.6,311
17,2013-12-19,374,257
18,2013-12-18,371.8,446
19,2013-12-17,363.1,158
20,2013-12-16,361.6,353
21,2013-12-13,365.9,373
22,2013-12-12,357.6,569
23,2013-12-11,355,500
24,2013-12-10,348,504
25,2013-12-09,340.7,557
26,2013-12-06,344.8,453
27,2013-12-05,349.5,461
28,2013-12-04,350.8,562
29,2013-12-03,353.2,1202
30,2013-12-02,362.8,757
31,2013-11-29,364.8,873
32,2013-11-27,361.2,236
33,2013-11-26,361.4,327
34,2013-11-25,360.1,208
35,2013-11-22,359.6,515
36,2013-11-21,361.8,381
37,2013-11-20,365.9,270
38,2013-11-19,363.5,199
39,2013-11-18,366.9,374
40,2013-11-15,363.5,433
41,2013-11-14,359.4,873
42,2013-11-13,366.9,345
43,2013-11-12,368,535
44,2013-11-11,374.8,164
45,2013-11-08,374.7,514
46,2013-11-07,371.3,420
47,2013-11-06,369,322
48,2013-11-05,368.9,317
49,2013-11-04,373.1,282
50,2013-11-01,368.1,349
51,2013-10-31,368,425
52,2013-10-30,373,667
53,2013-10-29,371,304
54,2013-10-28,369.6,371
55,2013-10-25,373.8,611
56,2013-10-24,363.8,261
57,2013-10-23,362.8,242
58,2013-10-22,368.7,266
59,2013-10-21,364.2,268
60,2013-10-18,364.5,314
61,2013-10-17,363.4,381
62,2013-10-16,354.6,258
63,2013-10-15,349.4,180
64,2013-10-14,345.8,97
65,2013-10-11,349.4,331
66,2013-10-10,349.2,217
67,2013-10-09,349.3,72
68,2013-10-08,346.4,250
69,2013-10-07,342.6,130
70,2013-10-04,342.6,124
71,2013-10-03,342.7,205
72,2013-10-02,343.8,175
73,2013-10-01,347.8,495
74,2013-09-30,353.4,870
75,2013-09-27,351.6,544
76,2013-09-26,351.8,159
77,2013-09-25,358.9,227
78,2013-09-24,364.5,144
79,2013-09-23,363.2,64
80,2013-09-20,361.5,337
81,2013-09-19,365.2,247
82,2013-09-18,359.1,173
83,2013-09-17,352,85
84,2013-09-16,350.2,231
85,2013-09-13,355.9,335
86,2013-09-12,346,92
87,2013-09-11,339.5,91
88,2013-09-10,341.2,37
89,2013-09-09,343.5,25
90,2013-09-06,346.3,99
91,2013-09-05,341.6,59
92,2013-09-04,347.5,167
93,2013-09-03,339.6,164
94,2013-08-30,329.6,32
95,2013-08-29,328,65
96,2013-08-28,319,11
97,2013-08-27,316.1,24
98,2013-08-26,321.2,16
99,2013-08-23,324,17
100,2013-08-22,327,5
101,2013-08-21,324,7
102,2013-08-20,328,10
103,2013-08-19,328,0
104,2013-08-16,330,16
105,2013-08-15,334.9,8
106,2013-08-14,334.7,5
107,2013-08-13,333,3
108,2013-08-12,326,2
109,2013-08-09,320,9
110,2013-08-08,321.2,1
111,2013-08-07,316.7,3
112,2013-08-06,315,5
113,2013-08-05,314,4
114,2013-08-02,323,7
115,2013-08-01,322.3,8
116,2013-07-31,325.5,9
117,2013-07-30,335.5,5
118,2013-07-29,340,4
119,2013-07-26,335.2,0
120,2013-07-25,333,0
121,2013-07-24,332.1,5
122,2013-07-23,338,8
123,2013-07-22,347.3,7
124,2013-07-19,337.6,8
125,2013-07-18,341.5,2
126,2013-07-17,338,13
127,2013-07-16,328.1,2
128,2013-07-15,326.2,1
129,2013-07-12,325,2
130,2013-07-11,329.9,4
131,2013-07-10,329,6
132,2013-07-09,319,0
133,2013-07-08,310,1
134,2013-07-05,316,1
135,2013-07-03,316,0
136,2013-07-02,307.2,0
137,2013-07-01,307.1,2
138,2013-06-28,311,0
139,2013-06-27,314,0
140,2013-06-26,312,0
141,2013-06-25,305,0
142,2013-06-24,308,0
143,2013-06-21,305,0
144,2013-06-20,303.1,6
145,2013-06-19,299,1
146,2013-06-18,300,3
147,2013-06-17,300,11
148,2013-06-14,301,2
149,2013-06-13,304,1
150,2013-06-12,310,4
151,2013-06-11,318.1,0
152,2013-06-10,326,0
153,2013-06-07,327,0
154,2013-06-06,326,0
155,2013-06-05,330,0
156,2013-06-04,320,1
157,2013-06-03,329.5,0
158,2013-05-31,325,2
159,2013-05-30,311,11
160,2013-05-29,300.1,15
161,2013-05-28,306,4
162,2013-05-24,310.4,1
163,2013-05-23,314,4
164,2013-05-22,315.9,2
165,2013-05-21,320.1,7
166,2013-05-20,325,0
167,2013-05-17,322.5,2
168,2013-05-16,321,7
169,2013-05-15,325.4,0
170,2013-05-14,330.2,2
171,2013-05-13,339.6,0
172,2013-05-10,341.1,0
173,2013-05-09,339.9,0
174,2013-05-08,341.8,0
175,2013-05-07,341.7,0
176,2013-05-06,343.2,0
177,2013-05-03,343.1,0
178,2013-05-02,341.2,0
179,2013-05-01,342.4,0
180,2013-04-30,348.6,2
181,2013-04-29,355.4,0
182,2013-04-26,358.5,4
183,2013-04-25,360.8,1
184,2013-04-24,361.5,0
185,2013-04-23,362.9,4
186,2013-04-22,364.5,0
187,2013-04-19,366.5,0
188,2013-04-18,366.8,3
189,2013-04-17,363.5,1
190,2013-04-16,363.5,0
191,2013-04-15,358,1
192,2013-04-12,365.8,0
193,2013-04-11,368.7,0
194,2013-04-10,367.2,1
195,2013-04-09,368.9,4
196,2013-04-08,371.5,0
197,2013-04-05,372,2
198,2013-04-04,377.2,0
199,2013-04-03,378,0
200,2013-04-02,378.9,0
201,2013-04-01,388.9,0
202,2013-03-28,389,0
203,2013-03-27,379,1
204,2013-03-26,382.1,0
205,2013-03-25,379.2,0
206,2013-03-22,379.1,0
207,2013-03-21,382.7,0
208,2013-03-20,381.4,0
209,2013-03-19,380.4,0
210,2013-03-18,386,0
211,2013-03-15,387,0
212,2013-03-14,390.4,0
213,2013-03-13,387,0
214,2013-03-12,383.5,0
215,2013-03-11,378.8,0
216,2013-03-08,377,0
217,2013-03-07,381.1,0
218,2013-03-06,371.1,0
219,2013-03-05,372,0
220,2013-03-04,372,5
221,2013-03-01,372,0
222,2013-02-28,371.2,0
223,2013-02-27,363.2,0
224,2013-02-26,366.1,0
225,2013-02-25,360,0
