,Date,Close,Volume
0,2021-06-16,1.2268,0
1,2021-06-14,1.22875,1901
2,2021-06-11,1.22675,2697
3,2021-06-10,1.2245,4074
4,2021-06-09,1.2195,5694
5,2021-06-08,1.207,5153
6,2021-06-07,1.199,8018
7,2021-06-04,1.195,7167
8,2021-06-03,1.19375,5975
9,2021-06-02,1.1825,8395
10,2021-06-01,1.18625,8524
11,2021-05-28,1.1725,10085
12,2021-05-27,1.15725,7058
13,2021-05-26,1.15275,8178
14,2021-05-25,1.1525,13189
15,2021-05-24,1.1335,9569
16,2021-05-21,1.14225,14163
17,2021-05-20,1.1225,16192
18,2021-05-19,1.1095,12976
19,2021-05-18,1.1065,20811
20,2021-05-17,1.0865,15751
21,2021-05-14,1.08725,18651
22,2021-05-13,1.101,26466
23,2021-05-12,1.12025,27291
24,2021-05-11,1.11175,29361
25,2021-05-10,1.121,23513
26,2021-05-07,1.1285,26384
27,2021-05-06,1.14475,19317
28,2021-05-05,1.14425,19804
29,2021-05-04,1.1355,22879
30,2021-05-03,1.1265,25301
31,2021-04-30,1.09725,21513
32,2021-04-29,1.06725,23271
33,2021-04-28,1.09125,22238
34,2021-04-27,1.06675,17776
35,2021-04-26,1.0685,15071
36,2021-04-23,1.05725,16142
37,2021-04-22,1.0355,18200
38,2021-04-21,1.04525,22556
39,2021-04-20,1.0635,18321
40,2021-04-19,1.04325,22539
41,2021-04-16,1.017,28762
42,2021-04-15,1.047,11576
43,2021-04-14,1.077,16874
44,2021-04-13,1.06175,20471
45,2021-04-12,1.0615,26636
46,2021-04-09,1.0895,15321
47,2021-04-08,1.087,15728
48,2021-04-07,1.079,17173
49,2021-04-06,1.05625,14406
50,2021-04-05,1.056,14382
51,2021-04-02,1.06325,0
52,2021-04-01,1.06325,16134
53,2021-03-31,1.053,15239
54,2021-03-30,1.06025,12813
55,2021-03-29,1.05225,14755
56,2021-03-26,1.056,16179
57,2021-03-25,1.03325,15353
58,2021-03-24,1.0205,14649
59,2021-03-23,1.0125,17184
60,2021-03-22,0.99475,15436
61,2021-03-19,1.006,14750
62,2021-03-18,1.00025,22721
63,2021-03-17,1.02325,17251
64,2021-03-16,1.00975,15138
65,2021-03-15,0.98925,12648
66,2021-03-12,0.99,12482
67,2021-03-11,0.99125,22157
68,2021-03-10,0.974,19155
69,2021-03-09,0.96825,19486
70,2021-03-08,0.95975,16351
71,2021-03-05,0.95425,17470
72,2021-03-04,0.94725,11471
73,2021-03-03,0.9485,14160
74,2021-03-02,0.93475,12713
75,2021-03-01,0.9495,10661
76,2021-02-26,0.94175,13302
77,2021-02-25,0.9575,9914
78,2021-02-24,0.959,13995
79,2021-02-23,0.93625,9388
80,2021-02-22,0.931,6441
81,2021-02-19,0.92325,6010
82,2021-02-18,0.9265,6947
83,2021-02-17,0.92625,8864
84,2021-02-16,0.92875,8395
85,2021-02-12,0.919,15165
86,2021-02-11,0.909,17035
87,2021-02-10,0.902,13504
88,2021-02-09,0.89775,7934
89,2021-02-08,0.90075,7267
90,2021-02-05,0.8955,7568
91,2021-02-04,0.88775,7386
92,2021-02-03,0.88725,10019
93,2021-02-02,0.881,8742
94,2021-02-01,0.869,7026
95,2021-01-29,0.873,5971
96,2021-01-28,0.8685,5478
97,2021-01-27,0.8735,5082
98,2021-01-26,0.87925,8586
99,2021-01-25,0.875,6268
100,2021-01-22,0.868,9160
101,2021-01-21,0.85275,7316
102,2021-01-20,0.845,5978
103,2021-01-19,0.83,5466
104,2021-01-15,0.84375,5572
105,2021-01-14,0.84325,7049
106,2021-01-13,0.85175,10039
107,2021-01-12,0.84975,7855
108,2021-01-11,0.84,5879
109,2021-01-08,0.8375,6390
110,2021-01-07,0.84125,6302
111,2021-01-06,0.83625,6518
112,2021-01-05,0.842,7162
113,2021-01-04,0.83875,8130
114,2020-12-31,0.82825,4882
115,2020-12-30,0.8195,2907
116,2020-12-29,0.82,2539
117,2020-12-28,0.81875,2245
118,2020-12-24,0.82325,2164
119,2020-12-23,0.8215,4603
120,2020-12-22,0.812,2057
121,2020-12-21,0.81025,2350
122,2020-12-18,0.80775,1865
123,2020-12-17,0.80175,2890
124,2020-12-16,0.80075,3432
125,2020-12-15,0.80125,5007
126,2020-12-14,0.792,6944
127,2020-12-11,0.789,6918
128,2020-12-10,0.8035,3935
129,2020-12-09,0.80625,4003
130,2020-12-08,0.8015,6207
131,2020-12-07,0.79775,8453
132,2020-12-04,0.80875,5142
133,2020-12-03,0.81125,3784
134,2020-12-02,0.81225,2492
135,2020-12-01,0.81525,4093
136,2020-11-30,0.81475,2871
137,2020-11-27,0.80925,1657
138,2020-11-25,0.81175,2701
139,2020-11-24,0.80825,3321
140,2020-11-23,0.80475,3686
141,2020-11-20,0.78925,2507
142,2020-11-19,0.77375,3415
143,2020-11-18,0.79775,3125
144,2020-11-17,0.80325,3501
145,2020-11-16,0.78425,2487
146,2020-11-13,0.78825,3633
147,2020-11-12,0.81275,4300
148,2020-11-11,0.8095,5252
149,2020-11-10,0.813,5883
150,2020-11-09,0.80975,5338
151,2020-11-06,0.80475,5597
152,2020-11-05,0.79925,2293
153,2020-11-04,0.792,1694
154,2020-11-03,0.781,2515
155,2020-11-02,0.77775,2925
156,2020-10-30,0.7815,1766
157,2020-10-29,0.78,1624
158,2020-10-28,0.78225,1664
159,2020-10-27,0.79625,1484
160,2020-10-26,0.79275,1449
161,2020-10-23,0.789,1020
162,2020-10-22,0.78675,2158
163,2020-10-21,0.796,2803
164,2020-10-20,0.801,2322
165,2020-10-19,0.80575,5320
166,2020-10-16,0.8185,2153
