,Date,Close,Volume
0,2019-03-27,2.713,9640
1,2019-03-26,2.74,37149
2,2019-03-25,2.755,49167
3,2019-03-22,2.753,92637
4,2019-03-21,2.821,83786
5,2019-03-20,2.82,114170
6,2019-03-19,2.874,109752
7,2019-03-18,2.85,102225
8,2019-03-15,2.795,82709
9,2019-03-14,2.855,85276
10,2019-03-13,2.82,101209
11,2019-03-12,2.784,90018
12,2019-03-11,2.772,136894
13,2019-03-08,2.865,85877
14,2019-03-07,2.866,116999
15,2019-03-06,2.841,119633
16,2019-03-05,2.884,103057
17,2019-03-04,2.857,103657
18,2019-03-01,2.859,134663
19,2019-02-28,2.812,118344
20,2019-02-27,2.799,94052
21,2019-02-26,2.796,143686
22,2019-02-25,2.815,167372
23,2019-02-22,2.739,91903
24,2019-02-21,2.724,130856
25,2019-02-20,2.669,110046
26,2019-02-19,2.697,125959
27,2019-02-15,2.656,84149
28,2019-02-14,2.61,85145
29,2019-02-13,2.621,131186
30,2019-02-12,2.705,123230
31,2019-02-11,2.659,139017
32,2019-02-08,2.604,112721
33,2019-02-07,2.572,139073
34,2019-02-06,2.657,59887
35,2019-02-05,2.65,40481
36,2019-02-04,2.642,55402
37,2019-02-01,2.699,69123
38,2019-01-31,2.765,70428
39,2019-01-30,2.808,47330
40,2019-01-29,2.847,81717
41,2019-01-28,2.807,63222
42,2019-01-25,2.884,55398
43,2019-01-24,2.844,51471
44,2019-01-23,2.79,64346
45,2019-01-22,2.817,67553
46,2019-01-18,2.883,48554
47,2019-01-17,2.85,56997
48,2019-01-16,2.833,78076
49,2019-01-15,2.846,70248
50,2019-01-14,2.905,100870
51,2019-01-11,2.769,59498
52,2019-01-10,2.706,50185
53,2019-01-09,2.706,52844
54,2019-01-08,2.695,49592
55,2019-01-07,2.677,44309
56,2019-01-04,2.688,42959
57,2019-01-03,2.614,41228
58,2019-01-02,2.627,66105
59,2018-12-31,2.683,53721
60,2018-12-28,2.818,38507
61,2018-12-27,2.885,43731
62,2018-12-26,2.838,27178
63,2018-12-24,2.816,17016
64,2018-12-21,2.921,26205
65,2018-12-20,2.839,32084
66,2018-12-19,2.85,31579
67,2018-12-18,2.854,35332
68,2018-12-17,2.78,38013
69,2018-12-14,2.894,40327
70,2018-12-13,2.905,37879
71,2018-12-12,2.924,38971
72,2018-12-11,3.003,37689
73,2018-12-10,2.977,33547
74,2018-12-07,2.991,31439
75,2018-12-06,2.96,22436
76,2018-12-05,2.981,31023
77,2018-12-04,2.957,34727
78,2018-12-03,2.906,42757
79,2018-11-30,2.887,38378
80,2018-11-29,2.894,41068
81,2018-11-28,2.927,46666
82,2018-11-27,2.871,34357
83,2018-11-26,2.861,35410
84,2018-11-23,2.889,25850
85,2018-11-21,2.872,44053
86,2018-11-20,2.881,51231
87,2018-11-19,3.006,79681
88,2018-11-16,2.793,57852
89,2018-11-15,2.794,103279
90,2018-11-14,2.888,173372
91,2018-11-13,2.839,151753
92,2018-11-12,2.813,100762
93,2018-11-09,2.782,93280
94,2018-11-08,2.752,37578
95,2018-11-07,2.745,41517
96,2018-11-06,2.739,40978
97,2018-11-05,2.72,76879
98,2018-11-02,2.673,44194
99,2018-11-01,2.672,43183
100,2018-10-31,2.685,31110
101,2018-10-30,2.661,30763
102,2018-10-29,2.676,21134
103,2018-10-26,2.676,27359
104,2018-10-25,2.69,32721
105,2018-10-24,2.7,37672
106,2018-10-23,2.735,44466
107,2018-10-22,2.716,43076
108,2018-10-19,2.749,42246
109,2018-10-18,2.732,46659
110,2018-10-17,2.763,40053
111,2018-10-16,2.755,33419
112,2018-10-15,2.754,30038
113,2018-10-12,2.746,43633
114,2018-10-11,2.755,56432
115,2018-10-10,2.752,67351
116,2018-10-09,2.747,45617
117,2018-10-08,2.742,35869
118,2018-10-05,2.713,32493
119,2018-10-04,2.704,43564
120,2018-10-03,2.712,36100
121,2018-10-02,2.697,49764
122,2018-10-01,2.669,34070
