,Date,Close,Volume
0,2015-09-14,2.3,0
1,2015-09-11,2.36,0
2,2015-09-10,2.38,0
3,2015-09-09,2.3925,1
4,2015-09-08,2.335,6
5,2015-09-04,2.2325,0
6,2015-09-03,2.2275,0
7,2015-09-02,2.245,0
8,2015-09-01,2.24,21
9,2015-08-31,2.355,7
10,2015-08-28,2.345,133
11,2015-08-27,2.17,81
12,2015-08-26,2.1075,87
13,2015-08-25,2.1275,87
14,2015-08-24,2.1575,249
15,2015-08-21,2.1425,182
16,2015-08-20,2.215,17
17,2015-08-19,2.2325,131
18,2015-08-18,2.25,44
19,2015-08-17,2.2325,58
20,2015-08-14,2.275,27
21,2015-08-13,2.28,117
22,2015-08-12,2.2675,127
23,2015-08-11,2.2675,396
24,2015-08-10,2.3375,428
25,2015-08-07,2.36,47
26,2015-08-06,2.36,31
27,2015-08-05,2.35,97
28,2015-08-04,2.3575,116
29,2015-08-03,2.3425,379
30,2015-07-31,2.4125,446
31,2015-07-30,2.35,378
32,2015-07-29,2.285,130
33,2015-07-28,2.305,61
34,2015-07-27,2.26,175
35,2015-07-24,2.2875,146
36,2015-07-23,2.365,22
37,2015-07-22,2.3625,122
38,2015-07-21,2.4,115
39,2015-07-20,2.4125,126
40,2015-07-17,2.5025,104
41,2015-07-16,2.5625,49
42,2015-07-15,2.555,102
43,2015-07-14,2.555,70
44,2015-07-13,2.5625,40
45,2015-07-10,2.58,118
46,2015-07-09,2.545,166
47,2015-07-08,2.55,113
48,2015-07-07,2.605,95
49,2015-07-06,2.6175,84
50,2015-07-02,2.6,86
51,2015-07-01,2.5625,345
52,2015-06-30,2.64,323
53,2015-06-29,2.5675,319
54,2015-06-26,2.6725,223
55,2015-06-25,2.67,272
56,2015-06-24,2.6275,89
57,2015-06-23,2.615,166
58,2015-06-22,2.575,93
59,2015-06-19,2.5175,129
60,2015-06-18,2.5875,100
61,2015-06-17,2.6175,110
62,2015-06-16,2.6,79
63,2015-06-15,2.595,139
64,2015-06-12,2.625,235
65,2015-06-11,2.6625,144
66,2015-06-10,2.615,164
67,2015-06-09,2.595,215
68,2015-06-08,2.695,257
69,2015-06-05,2.6425,53
70,2015-06-04,2.5975,83
71,2015-06-03,2.5775,73
72,2015-06-02,2.595,121
73,2015-06-01,2.5225,410
74,2015-05-29,2.4175,588
75,2015-05-28,2.475,373
76,2015-05-27,2.4225,46
77,2015-05-26,2.445,15
78,2015-05-22,2.4825,21
79,2015-05-21,2.5,11
80,2015-05-20,2.47,128
81,2015-05-19,2.54,42
82,2015-05-18,2.5925,32
83,2015-05-15,2.5375,12
84,2015-05-14,2.535,35
85,2015-05-13,2.4175,42
86,2015-05-12,2.4875,36
87,2015-05-11,2.415,69
88,2015-05-08,2.4575,52
89,2015-05-07,2.39,42
90,2015-05-06,2.48,16
91,2015-05-05,2.3625,68
92,2015-05-04,2.39,22
93,2015-05-01,2.42,60
94,2015-04-30,2.5025,26
95,2015-04-29,2.475,10
96,2015-04-28,2.4775,30
97,2015-04-27,2.46,72
98,2015-04-24,2.515,11
99,2015-04-23,2.625,25
100,2015-04-22,2.685,0
101,2015-04-21,2.7,1
102,2015-04-20,2.7325,5
103,2015-04-17,2.75,2
104,2015-04-16,2.695,2
105,2015-04-15,2.725,45
106,2015-04-14,2.74,4
107,2015-04-13,2.7275,5
108,2015-04-10,2.73,19
109,2015-04-09,2.75,1
110,2015-04-08,2.735,4
111,2015-04-07,2.765,4
112,2015-04-06,2.7275,4
113,2015-04-02,2.72,7
114,2015-04-01,2.655,12
115,2015-03-31,2.7025,8
116,2015-03-30,2.7375,9
117,2015-03-27,2.76,3
118,2015-03-26,2.805,5
119,2015-03-25,2.8475,4
120,2015-03-24,2.8475,7
121,2015-03-23,2.8475,8
122,2015-03-20,2.81,9
123,2015-03-19,2.7675,0
124,2015-03-18,2.7725,12
125,2015-03-17,2.755,5
126,2015-03-16,2.8275,3
127,2015-03-13,2.8275,10
128,2015-03-12,2.8625,0
129,2015-03-11,2.88,13
130,2015-03-10,2.8775,33
131,2015-03-09,2.875,5
132,2015-03-06,2.8425,4
133,2015-03-05,2.8475,8
134,2015-03-04,2.8425,55
135,2015-03-03,2.845,21
136,2015-03-02,2.81,6
137,2015-02-27,2.8275,21
138,2015-02-26,2.8275,22
139,2015-02-25,2.765,1
140,2015-02-24,2.835,11
141,2015-02-23,2.845,124
142,2015-02-20,2.835,24
143,2015-02-19,2.815,0
144,2015-02-18,2.7975,0
145,2015-02-17,2.845,0
146,2015-02-13,2.84,1
147,2015-02-12,2.8075,2
148,2015-02-11,2.8325,0
149,2015-02-10,2.855,0
150,2015-02-09,2.885,0
151,2015-02-06,2.91,0
152,2015-02-05,2.9125,0
153,2015-02-04,2.905,6
154,2015-02-03,2.87,0
155,2015-02-02,2.83,25
156,2015-01-30,2.905,0
157,2015-01-29,2.985,10
158,2015-01-28,2.995,18
159,2015-01-27,3,0
160,2015-01-26,3.01,4
161,2015-01-23,3.005,1
