,Date,Close,Volume
0,2019-10-01,879.6,38
1,2019-09-30,883.4,216
2,2019-09-27,931,4389
3,2019-09-26,936.1,17489
4,2019-09-25,927.9,32069
5,2019-09-24,955.4,30885
6,2019-09-23,953.9,33318
7,2019-09-20,942.6,24616
8,2019-09-19,942.4,19010
9,2019-09-18,934.6,23124
10,2019-09-17,944.2,21029
11,2019-09-16,939.2,24937
12,2019-09-13,952.2,21613
13,2019-09-12,952.6,27382
14,2019-09-11,940.2,18205
15,2019-09-10,936.6,25523
16,2019-09-09,952.7,22542
17,2019-09-06,958.5,39119
18,2019-09-05,963.7,43931
19,2019-09-04,984.2,40724
20,2019-09-03,955.6,44904
21,2019-08-30,931.7,32933
22,2019-08-29,920,49500
23,2019-08-28,908.9,41286
24,2019-08-27,868.2,14803
25,2019-08-26,857.8,16937
26,2019-08-23,855.3,22299
27,2019-08-22,861.9,17262
28,2019-08-21,858.1,14938
29,2019-08-20,852.8,12254
30,2019-08-19,856.8,17075
31,2019-08-16,851.5,18009
32,2019-08-15,842,19301
33,2019-08-14,848,19422
34,2019-08-13,859.7,27726
35,2019-08-12,863.7,14109
36,2019-08-09,863.8,13602
37,2019-08-08,867.5,17427
38,2019-08-07,871,23951
39,2019-08-06,853.2,14031
40,2019-08-05,857.9,18149
41,2019-08-02,853,18736
42,2019-08-01,851.3,35735
43,2019-07-31,878.9,16875
44,2019-07-30,872.6,17649
45,2019-07-29,881.9,15353
46,2019-07-26,867.8,15714
47,2019-07-25,874,26188
48,2019-07-24,881.1,27724
49,2019-07-23,861.6,16373
50,2019-07-22,852.7,11866
51,2019-07-19,852.1,23556
52,2019-07-18,849.9,20384
53,2019-07-17,847.1,17610
54,2019-07-16,846.9,24156
55,2019-07-15,845.2,20996
56,2019-07-12,834.6,12772
57,2019-07-11,830.9,15265
58,2019-07-10,830,19228
59,2019-07-09,815.1,15031
60,2019-07-08,820.4,17489
61,2019-07-05,811.4,36256
62,2019-07-03,843.6,19454
63,2019-07-02,833.5,20323
64,2019-07-01,837.2,27753
65,2019-06-28,841.1,31239
66,2019-06-27,817.5,22377
67,2019-06-26,822,29624
68,2019-06-25,814.5,20780
69,2019-06-24,816.3,17799
70,2019-06-21,815.7,12806
71,2019-06-20,810.6,9847
72,2019-06-19,811,6830
73,2019-06-18,807.1,4976
74,2019-06-17,799.9,4589
75,2019-06-14,810,3859
76,2019-06-13,814.6,4095
77,2019-06-12,815.8,3054
78,2019-06-11,819.8,4419
79,2019-06-10,810.8,3022
80,2019-06-07,811.8,1587
81,2019-06-06,809.3,3625
82,2019-06-05,808.3,2284
83,2019-06-04,824.6,1750
84,2019-06-03,826.4,2587
