,Date,Close,Volume
0,2023-01-13,17.87,8
1,2023-01-12,17.78,15
2,2023-01-11,17.47,0
3,2023-01-10,17.71,3
4,2023-01-09,17.64,29
5,2023-01-06,17.495,6
6,2023-01-05,17.375,40
7,2023-01-04,17.5,17
8,2023-01-03,18.075,13
9,2022-12-30,18.05,19
10,2022-12-29,17.895,135
11,2022-12-28,17.73,370
12,2022-12-27,17.935,331
13,2022-12-23,18.015,514
14,2022-12-22,17.955,494
15,2022-12-21,17.84,584
16,2022-12-20,17.78,717
17,2022-12-19,17.12,648
18,2022-12-16,16.685,696
19,2022-12-15,16.635,888
20,2022-12-14,16.755,660
21,2022-12-13,16.765,554
22,2022-12-12,16.705,840
23,2022-12-09,16.715,432
24,2022-12-08,16.755,1189
25,2022-12-07,16.71,1288
26,2022-12-06,16.845,1644
27,2022-12-05,17.035,1411
28,2022-12-02,17.635,310
29,2022-12-01,17.795,359
30,2022-11-30,17.81,374
31,2022-11-29,17.895,296
32,2022-11-28,17.93,903
33,2022-11-25,18.12,787
34,2022-11-23,18.01,534
35,2022-11-22,17.945,308
36,2022-11-21,17.81,253
37,2022-11-18,17.795,396
38,2022-11-17,17.73,693
39,2022-11-16,17.74,418
40,2022-11-15,17.78,446
41,2022-11-14,17.955,821
42,2022-11-11,17.975,844
43,2022-11-10,18.005,576
44,2022-11-09,17.985,655
45,2022-11-08,17.925,798
46,2022-11-07,17.79,759
47,2022-11-04,17.695,736
48,2022-11-03,17.58,806
49,2022-11-02,17.58,1525
50,2022-11-01,17.65,2290
51,2022-10-31,16.985,1139
52,2022-10-28,16.505,1140
53,2022-10-27,16.345,1150
54,2022-10-26,16.37,1238
55,2022-10-25,16.53,825
56,2022-10-24,16.575,1461
57,2022-10-21,16.68,1102
58,2022-10-20,16.81,1148
59,2022-10-19,16.835,459
60,2022-10-18,16.89,860
61,2022-10-17,17.01,452
62,2022-10-14,17.075,540
63,2022-10-13,17.095,270
64,2022-10-12,17.155,398
65,2022-10-11,17.08,594
66,2022-10-10,17.055,382
67,2022-10-07,17.16,83
68,2022-10-06,17.23,146
69,2022-10-05,17.315,117
70,2022-10-04,17.315,200
71,2022-10-03,17.265,221
72,2022-09-30,17.49,174
73,2022-09-29,17.66,188
74,2022-09-28,17.66,57
75,2022-09-27,17.615,40
76,2022-09-26,17.625,122
77,2022-09-23,17.67,76
78,2022-09-22,17.66,119
79,2022-09-21,17.885,42
80,2022-09-20,17.99,44
81,2022-09-19,17.9,50
82,2022-09-16,18.08,39
83,2022-09-15,18.075,37
84,2022-09-14,18.055,29
85,2022-09-13,18.04,64
86,2022-09-12,17.955,61
87,2022-09-09,17.85,19
88,2022-09-08,17.505,10
89,2022-09-07,17.315,150
90,2022-09-06,17.365,58
91,2022-09-02,17.885,5
92,2022-09-01,17.89,80
93,2022-08-31,18.05,23
94,2022-08-30,18.02,9
95,2022-08-29,17.88,46
96,2022-08-26,17.89,18
97,2022-08-25,17.78,98
98,2022-08-24,17.8,83
99,2022-08-23,17.8,26
100,2022-08-22,17.6,68
101,2022-08-19,17.55,14
102,2022-08-18,17.07,10
103,2022-08-17,17.115,1
104,2022-08-16,17.35,0
105,2022-08-15,17.515,2
106,2022-08-12,17.6,6
107,2022-08-11,17.55,2
108,2022-08-10,17.43,0
109,2022-08-09,17.45,6
110,2022-08-08,17.595,1
111,2022-08-05,17.675,0
112,2022-08-04,17.715,9
113,2022-08-03,17.47,0
114,2022-08-02,17.195,0
115,2022-08-01,17.105,0
116,2022-07-29,17.29,2
117,2022-07-28,17.39,0
118,2022-07-27,17.4,0
119,2022-07-26,17.395,0
120,2022-07-25,17.29,0
121,2022-07-22,17.205,0
122,2022-07-21,17.32,2
123,2022-07-20,17.285,0
124,2022-07-19,17.49,0
125,2022-07-18,17.46,4
126,2022-07-15,16.925,0
127,2022-07-14,16.805,6
128,2022-07-13,16.845,0
129,2022-07-12,16.85,0
130,2022-07-11,16.92,0
131,2022-07-08,16.82,0
132,2022-07-07,16.775,1
133,2022-07-06,16.545,0
134,2022-07-05,16.475,1
135,2022-07-01,16.795,0
136,2022-06-30,17.09,0
137,2022-06-29,17.15,0
138,2022-06-28,16.93,0
139,2022-06-27,16.795,0
140,2022-06-24,16.64,1
141,2022-06-23,16.7,4
142,2022-06-22,16.995,0
143,2022-06-21,16.825,0
144,2022-06-17,16.915,0
145,2022-06-16,17.065,0
146,2022-06-15,17.17,0
147,2022-06-14,17.235,0
148,2022-06-13,17.055,2
149,2022-06-10,16.93,17
150,2022-06-09,17.285,8
151,2022-06-08,17.45,0
152,2022-06-07,17.375,1
153,2022-06-06,17.61,2
154,2022-06-03,17.32,0
155,2022-06-02,17.435,0
156,2022-06-01,17.665,0
157,2022-05-31,17.975,1
158,2022-05-27,17.9,0
159,2022-05-26,17.67,0
160,2022-05-25,17.475,0
161,2022-05-24,17.58,0
162,2022-05-23,17.69,0
163,2022-05-20,17.545,0
164,2022-05-19,17.37,0
165,2022-05-18,17.19,1
166,2022-05-17,17.47,4
167,2022-05-16,17.93,2
168,2022-05-13,17.5,13
169,2022-05-12,17.35,0
170,2022-05-11,17.3,0
171,2022-05-10,17.27,0
172,2022-05-09,17.14,0
173,2022-05-06,17.25,0
174,2022-05-05,17.28,0
175,2022-05-04,17.295,0
176,2022-05-03,17.295,0
177,2022-05-02,17.33,2
178,2022-04-29,17.545,9
179,2022-04-28,17.4,0
180,2022-04-27,17.365,0
181,2022-04-26,17.31,0
182,2022-04-25,16.97,2
183,2022-04-22,16.855,1
184,2022-04-21,16.945,0
185,2022-04-20,16.72,0
186,2022-04-19,16.69,0
187,2022-04-18,16.95,5
188,2022-04-14,16.655,5
189,2022-04-13,16.245,0
190,2022-04-12,16.25,0
191,2022-04-11,16.12,3
192,2022-04-08,16.235,4
193,2022-04-07,16.14,0
194,2022-04-06,16.17,0
195,2022-04-05,16.155,0
196,2022-04-04,16.16,0
197,2022-04-01,16.165,0
198,2022-03-31,16.16,0
199,2022-03-30,16.16,0
200,2022-03-29,16.21,0
201,2022-03-28,16.225,0
202,2022-03-25,16.415,0
203,2022-03-24,16.28,0
204,2022-03-23,16.23,0
205,2022-03-22,16.165,0
206,2022-03-21,16.125,0
207,2022-03-18,16.035,0
208,2022-03-17,16.025,0
209,2022-03-16,16.005,0
210,2022-03-15,16.055,0
211,2022-03-14,16.07,0
212,2022-03-11,16.085,0
213,2022-03-10,15.925,0
214,2022-03-09,15.81,0
215,2022-03-08,15.87,0
216,2022-03-07,15.82,0
217,2022-03-04,15.755,0
218,2022-03-03,15.65,0
219,2022-03-02,15.525,0
220,2022-03-01,15.555,0
221,2022-02-28,15.345,0
222,2022-02-25,15.13,0
223,2022-02-24,15.16,0
224,2022-02-23,15.175,0
225,2022-02-22,15.08,0
226,2022-02-18,14.84,0
227,2022-02-17,14.85,0
228,2022-02-16,14.83,0
229,2022-02-15,14.77,0
230,2022-02-14,14.81,0
231,2022-02-11,14.92,0
232,2022-02-10,14.835,0
233,2022-02-09,14.85,0
234,2022-02-08,14.875,0
235,2022-02-07,15.105,0
236,2022-02-04,15.02,0
237,2022-02-03,14.995,0
238,2022-02-02,14.98,0
239,2022-02-01,14.87,0
240,2022-01-31,14.72,0
241,2022-01-28,14.64,0
242,2022-01-27,14.565,0
243,2022-01-26,14.64,0
244,2022-01-25,14.605,0
245,2022-01-24,14.615,0
246,2022-01-21,14.555,0
247,2022-01-20,14.475,0
248,2022-01-19,14.49,0
249,2022-01-18,14.43,0
250,2022-01-14,14.405,0
251,2022-01-13,14.39,0
252,2022-01-12,14.405,0
253,2022-01-11,14.37,0
254,2022-01-10,14.425,0
255,2022-01-07,14.385,0
256,2022-01-06,14.355,0
257,2022-01-05,14.355,0
258,2022-01-04,14.325,0
259,2022-01-03,14.325,0
260,2021-12-31,14.385,0
261,2021-12-30,14.415,0
262,2021-12-29,14.405,0
263,2021-12-28,14.43,0
264,2021-12-27,14.515,0
265,2021-12-23,14.205,0
266,2021-12-22,14.185,0
267,2021-12-21,14.14,0
268,2021-12-20,14.06,0
269,2021-12-17,14.125,0
270,2021-12-16,14.145,0
271,2021-12-15,14.115,0
272,2021-12-14,14.19,0
273,2021-12-13,14.19,0
274,2021-12-10,14.2,0
275,2021-12-09,14.155,0
276,2021-12-08,14.16,0
277,2021-12-07,14.16,0
278,2021-12-06,14.13,0
279,2021-12-03,14.16,0
280,2021-12-02,14.115,0
281,2021-12-01,14,0
282,2021-11-30,13.965,0
283,2021-11-29,14.22,0
284,2021-11-26,14.19,0
285,2021-11-24,14.255,0
286,2021-11-23,14.26,0
287,2021-11-22,14.34,0
288,2021-11-19,14.395,0
289,2021-11-18,14.395,0
290,2021-11-17,14.16,0
291,2021-11-16,14.155,0
292,2021-11-15,14.155,0
293,2021-11-12,14.16,0
