,Date,Close,Volume
0,2017-04-28,0.1604,9192
1,2017-04-27,0.1518,22121
2,2017-04-26,0.1538,44233
3,2017-04-25,0.1618,38989
4,2017-04-24,0.1624,38456
5,2017-04-21,0.1641,44370
6,2017-04-20,0.1633,31833
7,2017-04-19,0.1642,40611
8,2017-04-18,0.167,81307
9,2017-04-17,0.1647,52648
10,2017-04-13,0.166,81098
11,2017-04-12,0.167,69492
12,2017-04-11,0.1672,95230
13,2017-04-10,0.1663,79793
14,2017-04-07,0.1677,86292
15,2017-04-06,0.1645,74933
16,2017-04-05,0.161,95012
17,2017-04-04,0.1616,75380
18,2017-04-03,0.1654,74259
19,2017-03-31,0.1676,51194
20,2017-03-30,0.1681,71065
21,2017-03-29,0.1712,57871
22,2017-03-28,0.1756,53656
23,2017-03-27,0.177,54934
24,2017-03-24,0.1771,41924
25,2017-03-23,0.176,45158
26,2017-03-22,0.173,58676
27,2017-03-21,0.1729,78838
28,2017-03-20,0.177,55478
29,2017-03-17,0.1817,97418
30,2017-03-16,0.1825,53723
31,2017-03-15,0.1823,32132
32,2017-03-14,0.1816,35801
33,2017-03-13,0.1818,40186
34,2017-03-10,0.1822,59412
35,2017-03-09,0.18,77458
36,2017-03-08,0.184,70945
37,2017-03-07,0.184,99986
38,2017-03-06,0.1915,49211
39,2017-03-03,0.1952,34064
40,2017-03-02,0.1966,45501
41,2017-03-01,0.1948,50360
42,2017-02-28,0.1923,64989
43,2017-02-27,0.1915,90193
44,2017-02-24,0.1981,91241
45,2017-02-23,0.2013,83005
46,2017-02-22,0.2068,72135
47,2017-02-21,0.2074,56173
48,2017-02-17,0.2026,33959
49,2017-02-16,0.203,57673
50,2017-02-15,0.2043,51885
51,2017-02-14,0.2037,48188
52,2017-02-13,0.1999,64133
53,2017-02-10,0.2043,63439
54,2017-02-09,0.2065,54981
55,2017-02-08,0.2073,68721
56,2017-02-07,0.2063,52391
57,2017-02-06,0.2097,39474
58,2017-02-03,0.2091,45706
59,2017-02-02,0.2051,61187
60,2017-02-01,0.207,47298
61,2017-01-31,0.2046,28129
62,2017-01-30,0.2037,25300
63,2017-01-27,0.2036,26581
64,2017-01-26,0.2036,26302
65,2017-01-25,0.204,29657
66,2017-01-24,0.2064,35048
67,2017-01-23,0.2063,29078
68,2017-01-20,0.2022,30440
69,2017-01-19,0.2022,73502
70,2017-01-18,0.208,27339
71,2017-01-17,0.2055,27770
72,2017-01-13,0.2035,36521
73,2017-01-12,0.2052,28071
74,2017-01-11,0.2038,36693
75,2017-01-10,0.2031,30058
76,2017-01-09,0.2023,27359
77,2017-01-06,0.2041,21696
78,2017-01-05,0.2043,32213
79,2017-01-04,0.2041,24448
80,2017-01-03,0.2012,31053
81,2016-12-30,0.1925,9978
82,2016-12-29,0.1922,16235
83,2016-12-28,0.1874,13795
84,2016-12-27,0.183,8443
85,2016-12-23,0.1797,7961
86,2016-12-22,0.1795,9160
87,2016-12-21,0.18,12072
88,2016-12-20,0.1806,14280
89,2016-12-19,0.1805,13911
90,2016-12-16,0.1804,18812
91,2016-12-15,0.1832,25864
92,2016-12-14,0.1782,29407
93,2016-12-13,0.1833,37277
94,2016-12-12,0.1881,19913
95,2016-12-09,0.1878,18833
96,2016-12-08,0.1896,17317
97,2016-12-07,0.1912,23306
98,2016-12-06,0.1898,28301
99,2016-12-05,0.1848,10473
100,2016-12-02,0.1866,22104
101,2016-12-01,0.1889,17603
102,2016-11-30,0.1927,14659
103,2016-11-29,0.1912,11450
104,2016-11-28,0.1936,11777
105,2016-11-25,0.1926,11224
106,2016-11-23,0.1908,21951
107,2016-11-22,0.1928,22861
108,2016-11-21,0.1979,11436
109,2016-11-18,0.1962,15937
110,2016-11-17,0.1971,13209
111,2016-11-16,0.1987,33357
112,2016-11-15,0.2059,27380
113,2016-11-14,0.2096,10697
114,2016-11-11,0.2107,21731
115,2016-11-10,0.2107,17449
116,2016-11-09,0.2155,18654
117,2016-11-08,0.2134,17623
118,2016-11-07,0.2165,28732
119,2016-11-04,0.2119,22921
120,2016-11-03,0.21,18886
121,2016-11-02,0.2116,24452
122,2016-11-01,0.208,20897
123,2016-10-31,0.2111,20174
124,2016-10-28,0.2162,21976
125,2016-10-27,0.2203,14413
126,2016-10-26,0.2211,19856
127,2016-10-25,0.2228,11659
128,2016-10-24,0.2253,18338
129,2016-10-21,0.2207,11358
130,2016-10-20,0.2199,23288
131,2016-10-19,0.2229,13460
132,2016-10-18,0.2235,10044
133,2016-10-17,0.2246,10988
134,2016-10-14,0.2224,15446
135,2016-10-13,0.2226,16860
136,2016-10-12,0.2243,18194
137,2016-10-11,0.2249,29792
138,2016-10-10,0.2237,12694
139,2016-10-07,0.2263,13173
140,2016-10-06,0.2231,15024
141,2016-10-05,0.2291,17215
142,2016-10-04,0.2244,13986
143,2016-10-03,0.2195,14697
144,2016-09-30,0.2216,19417
145,2016-09-29,0.2248,27662
146,2016-09-28,0.2285,15814
147,2016-09-27,0.226,14379
148,2016-09-26,0.2237,12472
149,2016-09-23,0.2203,14873
150,2016-09-22,0.2192,35582
151,2016-09-21,0.2199,12157
152,2016-09-20,0.2194,17340
153,2016-09-19,0.2189,27392
154,2016-09-16,0.2159,41248
155,2016-09-15,0.2068,25584
156,2016-09-14,0.2027,23408
157,2016-09-13,0.2047,18508
158,2016-09-12,0.2041,16354
159,2016-09-09,0.2029,14782
160,2016-09-08,0.2045,18022
161,2016-09-07,0.2045,14085
162,2016-09-06,0.2034,13876
163,2016-09-02,0.2025,14004
164,2016-09-01,0.1972,20270
165,2016-08-31,0.2004,10281
166,2016-08-30,0.2042,7337
167,2016-08-29,0.2054,4565
168,2016-08-26,0.2049,5192
169,2016-08-25,0.2041,6671
170,2016-08-24,0.2015,11564
171,2016-08-23,0.2053,11449
172,2016-08-22,0.2034,10977
173,2016-08-19,0.1982,6532
174,2016-08-18,0.1993,5699
175,2016-08-17,0.1969,5328
176,2016-08-16,0.2016,5634
177,2016-08-15,0.1992,4290
178,2016-08-12,0.197,6078
179,2016-08-11,0.1961,9246
180,2016-08-10,0.1957,10056
181,2016-08-09,0.2021,12650
182,2016-08-08,0.2028,12401
183,2016-08-05,0.2002,13551
184,2016-08-04,0.1938,6911
185,2016-08-03,0.1888,6272
186,2016-08-02,0.1889,5620
187,2016-08-01,0.1868,6098
188,2016-07-29,0.1886,5914
189,2016-07-28,0.1859,6506
190,2016-07-27,0.1876,5776
191,2016-07-26,0.1903,6447
192,2016-07-25,0.1931,5999
193,2016-07-22,0.1917,4023
194,2016-07-21,0.1913,5353
195,2016-07-20,0.1896,4344
196,2016-07-19,0.1902,4605
197,2016-07-18,0.1902,3849
198,2016-07-15,0.1897,7643
199,2016-07-14,0.1934,6802
200,2016-07-13,0.1906,9918
201,2016-07-12,0.1922,8215
202,2016-07-11,0.1966,15319
203,2016-07-08,0.1908,9782
204,2016-07-07,0.1916,7956
205,2016-07-06,0.1976,6787
206,2016-07-05,0.1987,8713
207,2016-07-01,0.1972,5355
208,2016-06-30,0.193,13535
209,2016-06-29,0.1984,14715
210,2016-06-28,0.1917,5408
211,2016-06-27,0.1899,6497
212,2016-06-24,0.1866,6649
213,2016-06-23,0.1885,5335
214,2016-06-22,0.1874,3884
215,2016-06-21,0.1875,5201
216,2016-06-20,0.19,3913
217,2016-06-17,0.1909,4654
218,2016-06-16,0.1897,7223
219,2016-06-15,0.1909,7345
220,2016-06-14,0.188,5567
221,2016-06-13,0.1896,7077
222,2016-06-10,0.1906,9469
223,2016-06-09,0.1904,8895
224,2016-06-08,0.1898,12861
225,2016-06-07,0.1858,11858
226,2016-06-06,0.1827,12788
227,2016-06-03,0.1816,18540
228,2016-06-02,0.1785,7475
229,2016-06-01,0.1761,5610
230,2016-05-31,0.1754,4726
231,2016-05-27,0.1755,3668
232,2016-05-26,0.1762,3310
233,2016-05-25,0.1749,3731
234,2016-05-24,0.1714,5049
235,2016-05-23,0.1721,5084
236,2016-05-20,0.174,4440
237,2016-05-19,0.1716,4398
238,2016-05-18,0.1718,3136
239,2016-05-17,0.1715,3990
240,2016-05-16,0.1716,2520
241,2016-05-13,0.1703,3906
242,2016-05-12,0.1722,3694
243,2016-05-11,0.1717,4622
244,2016-05-10,0.166,1604
245,2016-05-09,0.1648,2901
246,2016-05-06,0.1633,2607
247,2016-05-05,0.1636,7049
248,2016-05-04,0.1698,6978
249,2016-05-03,0.1666,2299
250,2016-05-02,0.1674,2243
251,2016-04-29,0.1669,4224
252,2016-04-28,0.1628,1735
253,2016-04-27,0.1642,2489
254,2016-04-26,0.1652,1276
255,2016-04-25,0.164,2043
256,2016-04-22,0.1598,1150
257,2016-04-21,0.1625,2026
258,2016-04-20,0.1626,1744
259,2016-04-19,0.1587,1805
260,2016-04-18,0.1593,1718
261,2016-04-15,0.1564,2627
262,2016-04-14,0.1497,1832
263,2016-04-13,0.149,1566
264,2016-04-12,0.1494,1715
265,2016-04-11,0.1498,1987
266,2016-04-08,0.1538,1876
267,2016-04-07,0.1512,916
268,2016-04-06,0.1525,1056
269,2016-04-05,0.1528,978
270,2016-04-04,0.1531,2008
271,2016-04-01,0.1562,2334
272,2016-03-31,0.158,2404
273,2016-03-30,0.1614,1150
274,2016-03-29,0.1621,1663
275,2016-03-28,0.1627,3245
276,2016-03-24,0.1615,2352
277,2016-03-23,0.1661,4229
278,2016-03-22,0.1642,3364
279,2016-03-21,0.163,2218
280,2016-03-18,0.1617,1561
281,2016-03-17,0.1614,1462
282,2016-03-16,0.1572,2837
283,2016-03-15,0.1565,1726
284,2016-03-14,0.1568,933
285,2016-03-11,0.1551,1697
286,2016-03-10,0.1534,830
287,2016-03-09,0.1511,978
288,2016-03-08,0.153,892
289,2016-03-07,0.1512,2802
290,2016-03-04,0.1514,1234
291,2016-03-03,0.1506,1308
292,2016-03-02,0.1483,2136
293,2016-03-01,0.146,2498
294,2016-02-29,0.1454,872
295,2016-02-26,0.1429,1251
296,2016-02-25,0.144,437
297,2016-02-24,0.142,2232
298,2016-02-23,0.1421,1602
299,2016-02-22,0.1345,1336
300,2016-02-19,0.1338,2216
301,2016-02-18,0.1347,1183
302,2016-02-17,0.1368,285
303,2016-02-16,0.1375,654
304,2016-02-12,0.1369,319
305,2016-02-11,0.1364,265
306,2016-02-10,0.1394,229
307,2016-02-09,0.1396,845
308,2016-02-08,0.1389,712
309,2016-02-05,0.1358,2239
310,2016-02-04,0.1335,1594
311,2016-02-03,0.1348,1027
312,2016-02-02,0.137,2391
313,2016-02-01,0.1365,807
314,2016-01-29,0.1365,769
315,2016-01-28,0.1376,861
