,Date,Close,Volume
0,2021-07-30,25.528,40
1,2021-07-29,25.764,355
2,2021-07-28,24.862,551
3,2021-07-27,24.634,449
4,2021-07-26,25.304,324
5,2021-07-23,25.219,142
6,2021-07-22,25.367,219
7,2021-07-21,25.241,245
8,2021-07-20,24.981,169
9,2021-07-19,25.129,419
10,2021-07-16,25.781,123
11,2021-07-15,26.379,227
12,2021-07-14,26.251,295
13,2021-07-13,26.121,113
14,2021-07-12,26.22,82
15,2021-07-09,26.215,143
16,2021-07-08,25.968,302
17,2021-07-07,26.113,214
18,2021-07-06,26.158,690
19,2021-07-02,26.487,217
20,2021-07-01,26.085,499
21,2021-06-30,26.179,266
22,2021-06-29,25.884,509
23,2021-06-28,26.239,742
24,2021-06-25,26.106,429
25,2021-06-24,26.069,1013
26,2021-06-23,26.132,827
27,2021-06-22,25.876,874
28,2021-06-21,26.043,206
29,2021-06-18,25.985,102
30,2021-06-17,25.873,440
31,2021-06-16,27.828,276
32,2021-06-15,27.71,280
33,2021-06-14,28.054,227
34,2021-06-11,28.161,286
35,2021-06-10,28.047,115
36,2021-06-09,28.017,22
37,2021-06-08,27.747,25
38,2021-06-07,28.033,288
39,2021-06-04,27.91,305
40,2021-06-03,27.492,328
41,2021-06-02,28.22,100
42,2021-06-01,28.119,130
43,2021-05-28,28.031,9
44,2021-05-27,27.955,0
