,Date,Close,Volume
0,2019-03-14,301.8,151
1,2019-03-13,300.2,85
2,2019-03-12,298.3,123
3,2019-03-11,296.7,258
4,2019-03-08,299.1,659
5,2019-03-07,302,1099
6,2019-03-06,301.8,1752
7,2019-03-05,305.6,1703
8,2019-03-04,306.3,2600
9,2019-03-01,303.3,1996
10,2019-02-28,302.3,3846
11,2019-02-27,305,50251
12,2019-02-26,303.2,38657
13,2019-02-25,305.4,53863
14,2019-02-22,305.6,38004
15,2019-02-21,305.9,78808
16,2019-02-20,305.2,68511
17,2019-02-19,305.4,68965
18,2019-02-15,306.5,53420
19,2019-02-14,305.5,68550
20,2019-02-13,310.1,63027
21,2019-02-12,309.2,61084
22,2019-02-11,304.9,63771
23,2019-02-08,306.1,82888
24,2019-02-07,305.5,90852
25,2019-02-06,309,67265
26,2019-02-05,309.5,61871
27,2019-02-04,310.6,53715
28,2019-02-01,311.8,91749
29,2019-01-31,310,69194
30,2019-01-30,311.1,45380
31,2019-01-29,311.8,35969
32,2019-01-28,312.2,38493
33,2019-01-25,313.9,38911
34,2019-01-24,312.3,39291
35,2019-01-23,312.9,37111
36,2019-01-22,313,54260
37,2019-01-18,315.1,58813
38,2019-01-17,312.2,69938
39,2019-01-16,310.1,47875
40,2019-01-15,309.3,52956
41,2019-01-14,311.8,52452
42,2019-01-11,314.6,49415
43,2019-01-10,316.8,59134
44,2019-01-09,323.4,48956
45,2019-01-08,321.6,56900
46,2019-01-07,322.2,47260
47,2019-01-04,319,36584
48,2019-01-03,316.7,38964
49,2019-01-02,314.9,55050
50,2018-12-31,309.9,34766
51,2018-12-28,313,60467
52,2018-12-27,308.3,48016
53,2018-12-26,307.9,50448
54,2018-12-24,311.8,40552
55,2018-12-21,310.1,51237
56,2018-12-20,312,45987
57,2018-12-19,312,39060
58,2018-12-18,314.7,39154
59,2018-12-17,313.4,26015
60,2018-12-14,311.6,36562
61,2018-12-13,312.9,58503
62,2018-12-12,316.6,51308
63,2018-12-11,314.7,43593
64,2018-12-10,313.9,42163
65,2018-12-07,314.7,41118
66,2018-12-06,315.5,17931
67,2018-12-05,317.1,15508
68,2018-12-04,317.5,24113
69,2018-12-03,317.1,29862
70,2018-11-30,313.2,17293
71,2018-11-29,312.2,21296
72,2018-11-28,313.3,20609
73,2018-11-27,310,20880
74,2018-11-26,307.8,26790
75,2018-11-23,310.4,16917
76,2018-11-21,310.8,19625
77,2018-11-20,311.7,16141
78,2018-11-19,309.9,16725
79,2018-11-16,315.2,15080
80,2018-11-15,310.1,21193
81,2018-11-14,310.2,12309
82,2018-11-13,308.5,18033
83,2018-11-12,309.9,20189
84,2018-11-09,310.3,27465
85,2018-11-08,310.7,26095
86,2018-11-07,312,17813
87,2018-11-06,314,11339
88,2018-11-05,313.5,15762
89,2018-11-02,314.6,13787
90,2018-11-01,317.3,27901
91,2018-10-31,309.6,21290
92,2018-10-30,307.9,12692
93,2018-10-29,310.5,14922
94,2018-10-26,310.8,13422
95,2018-10-25,307.8,15680
96,2018-10-24,309.8,20771
97,2018-10-23,314.5,21330
98,2018-10-22,315.7,18104
99,2018-10-19,314.6,13046
100,2018-10-18,317.4,16029
101,2018-10-17,324.3,8938
102,2018-10-16,323.1,14404
103,2018-10-15,327.3,19729
104,2018-10-12,317.2,13885
105,2018-10-11,316.5,14571
106,2018-10-10,314.7,13345
107,2018-10-09,316.9,15116
108,2018-10-08,317.3,16768
109,2018-10-05,318.3,22354
110,2018-10-04,311.6,11666
111,2018-10-03,311,11290
112,2018-10-02,314.4,13188
113,2018-10-01,312.4,13413
114,2018-09-28,308.6,13679
115,2018-09-27,312.2,10111
116,2018-09-26,311.6,9264
117,2018-09-25,310.1,14481
118,2018-09-24,308.5,6247
119,2018-09-21,310,7219
120,2018-09-20,315.2,9475
121,2018-09-19,309.9,11295
122,2018-09-18,304.7,13995
123,2018-09-17,306.3,15285
124,2018-09-14,308.4,19570
125,2018-09-13,312,11913
126,2018-09-12,314.9,21735
127,2018-09-11,312.5,16049
128,2018-09-10,315.9,13117
129,2018-09-07,315,9988
130,2018-09-06,312.1,12033
131,2018-09-05,309.4,6687
132,2018-09-04,310.3,14707
133,2018-08-31,308.3,10860
134,2018-08-30,304.4,11218
135,2018-08-29,306.4,12504
136,2018-08-28,306.4,13917
137,2018-08-27,311.4,12236
138,2018-08-24,315.6,9480
139,2018-08-23,315.1,13345
140,2018-08-22,320.5,8677
141,2018-08-21,325.1,6544
142,2018-08-20,328,7907
143,2018-08-17,329.1,5364
144,2018-08-16,332.9,5734
145,2018-08-15,326.5,9058
146,2018-08-14,331.9,10645
147,2018-08-13,325.1,10820
148,2018-08-10,320.5,15226
149,2018-08-09,332.4,6905
150,2018-08-08,334.4,8957
151,2018-08-07,330.6,7414
152,2018-08-06,326.1,5655
153,2018-08-03,328.2,6775
154,2018-08-02,329,10595
155,2018-08-01,330.3,6062
156,2018-07-31,335.1,5918
157,2018-07-30,327.2,2665
158,2018-07-27,324.6,3250
159,2018-07-26,325.1,7342
160,2018-07-25,321.9,4696
161,2018-07-24,320.1,5017
162,2018-07-23,318.4,2689
163,2018-07-20,318.1,4937
164,2018-07-19,319.8,4868
165,2018-07-18,318.1,3365
166,2018-07-17,318.8,4761
167,2018-07-16,319.9,6607
168,2018-07-13,313.8,8533
169,2018-07-12,318,7929
170,2018-07-11,317.6,9125
171,2018-07-10,323.4,6396
172,2018-07-09,321.6,5290
173,2018-07-06,330.9,7153
174,2018-07-05,318.9,4265
175,2018-07-03,320.2,3644
176,2018-07-02,321.8,9711
177,2018-06-29,323.1,4363
178,2018-06-28,324.1,3724
179,2018-06-27,324.4,6102
180,2018-06-26,325.9,3324
181,2018-06-25,328,3600
182,2018-06-22,334.7,2367
183,2018-06-21,329,4974
184,2018-06-20,331.6,3445
185,2018-06-19,333.7,4605
186,2018-06-18,335.3,2275
187,2018-06-15,337.8,4309
188,2018-06-14,341.8,2311
189,2018-06-13,345.1,3583
190,2018-06-12,352,3708
191,2018-06-11,349.3,5237
192,2018-06-08,353.8,3996
193,2018-06-07,353.4,3623
194,2018-06-06,357.1,2591
195,2018-06-05,357.8,1585
196,2018-06-04,356.1,3424
197,2018-06-01,360.3,1576
198,2018-05-31,359.6,1660
199,2018-05-30,358.6,1950
200,2018-05-29,359.5,2607
201,2018-05-25,361.5,1129
202,2018-05-24,359.9,2647
203,2018-05-23,360.8,2393
204,2018-05-22,356.5,1666
205,2018-05-21,356.5,2531
206,2018-05-18,350.2,2509
207,2018-05-17,350.9,1792
208,2018-05-16,353.2,1681
209,2018-05-15,356.2,1601
210,2018-05-14,358.1,1996
211,2018-05-11,356.2,2141
212,2018-05-10,360.7,1557
213,2018-05-09,357.9,2774
214,2018-05-08,360.3,1299
215,2018-05-07,360.5,1423
216,2018-05-04,366.1,2030
217,2018-05-03,369,2157
218,2018-05-02,370.7,2741
219,2018-05-01,373,3077
220,2018-04-30,365.8,1399
221,2018-04-27,365.6,2329
222,2018-04-26,358.7,1262
223,2018-04-25,359.7,1360
224,2018-04-24,359.3,1553
225,2018-04-23,360.8,1084
226,2018-04-20,362.2,1941
227,2018-04-19,362.3,1751
228,2018-04-18,363.9,1203
229,2018-04-17,363.7,640
230,2018-04-16,359.6,1743
231,2018-04-13,362.4,1048
232,2018-04-12,362.8,648
233,2018-04-11,362.5,873
234,2018-04-10,363.6,2206
235,2018-04-09,364.5,1129
236,2018-04-06,360.3,826
237,2018-04-05,356.5,2112
238,2018-04-04,358.9,2573
239,2018-04-03,360.8,1288
240,2018-04-02,359,642
241,2018-03-29,362.5,792
242,2018-03-28,351.4,274
243,2018-03-27,352.5,513
244,2018-03-26,355.2,672
245,2018-03-23,357.6,977
246,2018-03-22,353.4,940
247,2018-03-21,352.3,442
248,2018-03-20,352,914
249,2018-03-19,348.8,935
250,2018-03-16,356.5,709
251,2018-03-15,355.4,130
252,2018-03-14,355.3,182
253,2018-03-13,359.5,106
254,2018-03-12,356.4,237
255,2018-03-09,355,377
256,2018-03-08,361.1,225
257,2018-03-07,361.8,269
258,2018-03-06,360.8,648
259,2018-03-05,361,643
260,2018-03-02,360,225
261,2018-03-01,359.5,502
262,2018-02-28,358.6,611
263,2018-02-27,357.4,489
264,2018-02-26,353.9,350
265,2018-02-23,355.3,878
266,2018-02-22,354.9,2848
267,2018-02-21,356.2,1108
268,2018-02-20,353.9,1247
269,2018-02-16,352.7,304
270,2018-02-15,352.6,550
271,2018-02-14,349.4,397
272,2018-02-13,351.7,733
273,2018-02-12,349.9,499
274,2018-02-09,341.1,226
275,2018-02-08,340.7,147
276,2018-02-07,337.7,171
277,2018-02-06,335.7,481
278,2018-02-05,333.3,349
279,2018-02-02,335.7,553
280,2018-02-01,336.8,252
281,2018-01-31,340.2,63
282,2018-01-30,342.1,510
283,2018-01-29,341.2,52
284,2018-01-26,340.3,125
285,2018-01-25,343.5,65
286,2018-01-24,342.7,74
287,2018-01-23,340.3,626
288,2018-01-22,341.1,278
289,2018-01-19,337,496
290,2018-01-18,335.9,54
291,2018-01-17,332.9,103
292,2018-01-16,331.6,179
293,2018-01-12,328.2,372
294,2018-01-11,323.2,98
295,2018-01-10,325.2,227
296,2018-01-09,326.4,325
297,2018-01-08,328.9,44
298,2018-01-05,328.8,135
299,2018-01-04,328,124
300,2018-01-03,327.8,39
301,2018-01-02,326.8,68
302,2017-12-29,324.7,111
303,2017-12-28,324.7,37
304,2017-12-27,326.1,20
305,2017-12-26,326.1,1
306,2017-12-22,324.8,131
307,2017-12-21,325.6,53
308,2017-12-20,326,217
309,2017-12-19,324.4,7
310,2017-12-18,328,211
311,2017-12-15,328.2,17
312,2017-12-14,328.2,6
313,2017-12-13,332.6,3
314,2017-12-12,331.5,15
315,2017-12-11,333,29
316,2017-12-08,334.3,13
317,2017-12-07,335.9,30
318,2017-12-06,340.6,15
319,2017-12-05,341.1,84
320,2017-12-04,338.9,140
321,2017-12-01,334.3,21
322,2017-11-30,330.8,1068
323,2017-11-29,331,14
324,2017-11-28,330.4,65
325,2017-11-27,332.4,2
326,2017-11-24,330.6,46
327,2017-11-22,331.2,16
328,2017-11-21,326.6,15
329,2017-11-20,328.6,0
330,2017-11-17,326.2,227
331,2017-11-16,319.4,0
332,2017-11-15,319.7,97
333,2017-11-14,320,217
334,2017-11-13,320.6,169
335,2017-11-10,323.5,25
336,2017-11-09,321.8,91
337,2017-11-08,324.8,49
338,2017-11-07,324.6,58
339,2017-11-06,324.9,291
340,2017-11-03,324.2,190
341,2017-11-02,326.6,91
342,2017-11-01,323.2,14
343,2017-10-31,321.1,6
344,2017-10-30,322.1,5
345,2017-10-27,321.9,16
346,2017-10-26,321.9,8
