,Date,Close,Volume
0,2020-06-17,33.44,508
1,2020-06-16,33.1,46060
2,2020-06-15,33.9,64533
3,2020-06-12,35.075,151177
4,2020-06-11,40.625,157664
5,2020-06-10,27.475,59252
6,2020-06-09,27.625,51078
7,2020-06-08,26.025,32584
8,2020-06-05,25.325,50002
9,2020-06-04,26.725,52444
10,2020-06-03,27,55048
11,2020-06-02,28.225,47031
12,2020-06-01,29.525,40797
13,2020-05-29,28.825,62595
14,2020-05-28,30.325,51836
15,2020-05-27,29.075,57315
16,2020-05-26,29.625,53302
17,2020-05-22,30.375,43134
18,2020-05-21,31.025,49242
19,2020-05-20,29.775,69044
20,2020-05-19,32.075,56775
21,2020-05-18,30.1,50433
22,2020-05-15,32.725,57064
23,2020-05-14,32.925,70123
24,2020-05-13,34.925,92162
25,2020-05-12,32.925,55049
26,2020-05-11,29.025,41671
27,2020-05-08,30.725,34213
28,2020-05-07,32.625,32425
29,2020-05-06,34.575,29053
30,2020-05-05,33.775,30541
31,2020-05-04,34.975,27817
32,2020-05-01,35.975,32624
33,2020-04-30,33.225,24516
34,2020-04-29,31.775,30494
35,2020-04-28,33.825,23007
36,2020-04-27,33.475,32946
37,2020-04-24,35.575,26916
38,2020-04-23,37.725,22072
39,2020-04-22,37.375,19364
40,2020-04-21,38.675,31913
41,2020-04-20,36.225,22574
42,2020-04-17,33.075,21390
43,2020-04-16,34.425,21549
44,2020-04-15,34.575,19989
45,2020-04-14,32.05,15644
46,2020-04-13,33.825,9008
47,2020-04-09,34.65,14933
48,2020-04-08,36.075,7041
49,2020-04-07,36.675,12762
50,2020-04-06,35.875,8332
51,2020-04-03,37.925,10627
52,2020-04-02,38.35,12235
53,2020-04-01,40.375,9490
54,2020-03-31,37.225,15090
55,2020-03-30,38.175,6719
56,2020-03-27,39.45,7650
57,2020-03-26,35.525,9313
58,2020-03-25,39.25,20018
59,2020-03-24,35.7,15804
60,2020-03-23,40.35,24920
61,2020-03-20,49.725,17448
62,2020-03-19,50.4,26678
63,2020-03-18,51.5,33063
64,2020-03-17,42.075,31896
