,Date,Close,Volume
0,2020-07-14,5.2475,1
1,2020-07-13,5.2475,60
2,2020-07-10,5.3575,18
3,2020-07-09,5.2625,15
4,2020-07-08,5.175,84
5,2020-07-07,4.9225,99
6,2020-07-06,4.895,76
7,2020-07-02,4.9,291
8,2020-07-01,4.9875,718
9,2020-06-30,4.9,2721
10,2020-06-29,4.855,16749
11,2020-06-26,4.74,64057
12,2020-06-25,4.8675,46252
13,2020-06-24,4.8125,22216
14,2020-06-23,4.86,38396
15,2020-06-22,4.85,35478
16,2020-06-19,4.8125,58288
17,2020-06-18,4.835,51883
18,2020-06-17,4.8875,60132
19,2020-06-16,4.96,67274
20,2020-06-15,5.0475,51218
21,2020-06-12,5.02,71166
22,2020-06-11,4.9925,90884
23,2020-06-10,5.0625,77126
24,2020-06-09,5.045,105093
25,2020-06-08,5.115,89831
26,2020-06-05,5.1525,100263
27,2020-06-04,5.2375,76243
28,2020-06-03,5.12,70048
29,2020-06-02,5.08,76980
30,2020-06-01,5.1525,62138
31,2020-05-29,5.2075,56405
32,2020-05-28,5.145,64133
33,2020-05-27,5.045,41180
34,2020-05-26,5.0675,48956
35,2020-05-22,5.0875,59252
36,2020-05-21,5.16,75219
37,2020-05-20,5.1375,87800
38,2020-05-19,4.9875,43782
39,2020-05-18,4.97,42218
40,2020-05-15,5.0025,49768
41,2020-05-14,5.0225,44141
42,2020-05-13,5.0175,58350
43,2020-05-12,5.145,56300
44,2020-05-11,5.1725,50116
45,2020-05-08,5.22,35345
46,2020-05-07,5.225,49199
47,2020-05-06,5.175,41049
48,2020-05-05,5.2075,48146
49,2020-05-04,5.195,63198
50,2020-05-01,5.165,39109
51,2020-04-30,5.2425,67217
52,2020-04-29,5.165,59885
53,2020-04-28,5.26,47579
54,2020-04-27,5.2475,58311
55,2020-04-24,5.305,71750
56,2020-04-23,5.4475,57685
57,2020-04-22,5.4375,52877
58,2020-04-21,5.4625,60051
59,2020-04-20,5.475,75375
60,2020-04-17,5.3375,43714
61,2020-04-16,5.305,52527
62,2020-04-15,5.405,74909
63,2020-04-14,5.4975,63690
64,2020-04-13,5.555,54127
65,2020-04-09,5.575,60818
66,2020-04-08,5.485,54009
67,2020-04-07,5.475,57690
68,2020-04-06,5.51,31929
69,2020-04-03,5.45,31584
70,2020-04-02,5.3875,32659
71,2020-04-01,5.4775,49368
72,2020-03-31,5.625,43646
73,2020-03-30,5.5825,34616
74,2020-03-27,5.5725,59635
75,2020-03-26,5.5625,50882
76,2020-03-25,5.6775,66628
77,2020-03-24,5.5525,38502
78,2020-03-23,5.5575,50043
79,2020-03-20,5.3575,43349
80,2020-03-19,5.325,61386
81,2020-03-18,5.085,39846
82,2020-03-17,5,33042
83,2020-03-16,4.995,53368
84,2020-03-13,5.07,40701
85,2020-03-12,5.0675,41682
86,2020-03-11,5.1325,31401
87,2020-03-10,5.215,38977
88,2020-03-09,5.1875,45826
89,2020-03-06,5.1675,27840
90,2020-03-05,5.195,33482
91,2020-03-04,5.195,30212
92,2020-03-03,5.275,34901
93,2020-03-02,5.2425,39245
94,2020-02-28,5.2625,41759
95,2020-02-27,5.29,33186
96,2020-02-26,5.355,24953
97,2020-02-25,5.3725,36855
98,2020-02-24,5.3675,41438
99,2020-02-21,5.52,31563
100,2020-02-20,5.5875,26577
101,2020-02-19,5.6125,25691
102,2020-02-18,5.625,40299
103,2020-02-14,5.41,21476
104,2020-02-13,5.445,24166
105,2020-02-12,5.49,28138
106,2020-02-11,5.4475,40041
107,2020-02-10,5.525,26265
108,2020-02-07,5.57,18184
109,2020-02-06,5.5325,14375
110,2020-02-05,5.5825,17268
111,2020-02-04,5.545,20293
112,2020-02-03,5.535,22912
113,2020-01-31,5.525,19702
114,2020-01-30,5.57,24545
115,2020-01-29,5.605,20743
116,2020-01-28,5.6725,18708
117,2020-01-27,5.7075,25922
118,2020-01-24,5.73,18836
119,2020-01-23,5.7875,21506
120,2020-01-22,5.7675,25930
121,2020-01-21,5.805,23872
122,2020-01-17,5.705,17283
123,2020-01-16,5.6675,14590
124,2020-01-15,5.7475,22103
125,2020-01-14,5.7175,21138
126,2020-01-13,5.6675,19364
127,2020-01-10,5.6825,29158
128,2020-01-09,5.6725,16460
129,2020-01-08,5.585,15389
130,2020-01-07,5.5625,11452
131,2020-01-06,5.57,12499
132,2020-01-03,5.605,16363
133,2020-01-02,5.65,14180
134,2019-12-31,5.635,7896
135,2019-12-30,5.61,9784
136,2019-12-27,5.5975,10277
137,2019-12-26,5.535,5616
138,2019-12-24,5.475,4864
139,2019-12-23,5.47,11096
140,2019-12-20,5.4875,10941
141,2019-12-19,5.5075,12372
142,2019-12-18,5.535,14156
143,2019-12-17,5.59,14978
144,2019-12-16,5.5125,23916
145,2019-12-13,5.3775,11613
146,2019-12-12,5.36,12992
147,2019-12-11,5.26,11680
148,2019-12-10,5.2975,11313
149,2019-12-09,5.2875,11538
150,2019-12-06,5.3,11349
151,2019-12-05,5.3,9664
152,2019-12-04,5.3275,11083
153,2019-12-03,5.31,15719
154,2019-12-02,5.3875,15389
155,2019-11-29,5.4275,17058
156,2019-11-27,5.315,9157
157,2019-11-26,5.3475,9112
158,2019-11-25,5.36,20280
159,2019-11-22,5.24,7289
160,2019-11-21,5.1775,7307
161,2019-11-20,5.2325,7878
162,2019-11-19,5.2125,11191
163,2019-11-18,5.1775,13891
164,2019-11-15,5.145,6712
165,2019-11-14,5.195,7271
166,2019-11-13,5.225,5995
167,2019-11-12,5.3025,7217
168,2019-11-11,5.1975,7003
169,2019-11-08,5.24,9144
170,2019-11-07,5.265,9159
171,2019-11-06,5.3,9001
172,2019-11-05,5.29,5740
173,2019-11-04,5.2575,6033
174,2019-11-01,5.31,6550
175,2019-10-31,5.2325,6536
176,2019-10-30,5.245,6154
177,2019-10-29,5.2725,5298
178,2019-10-28,5.28,6001
179,2019-10-25,5.325,4935
180,2019-10-24,5.3025,3406
181,2019-10-23,5.345,3432
182,2019-10-22,5.335,8343
183,2019-10-21,5.3775,7301
184,2019-10-18,5.44,9851
185,2019-10-17,5.36,10686
186,2019-10-16,5.2625,5731
187,2019-10-15,5.2225,4993
188,2019-10-14,5.245,6903
189,2019-10-11,5.2225,6878
190,2019-10-10,5.1,6708
191,2019-10-09,5.1625,4475
192,2019-10-08,5.165,6337
193,2019-10-07,5.0625,6940
194,2019-10-04,5.07,3131
195,2019-10-03,5.0625,3974
196,2019-10-02,5.06,5801
197,2019-10-01,5.1425,5057
198,2019-09-30,5.1075,5938
199,2019-09-27,5.0225,3319
200,2019-09-26,4.985,4769
201,2019-09-25,4.93,3370
202,2019-09-24,4.9825,2390
203,2019-09-23,4.9825,1983
204,2019-09-20,4.9975,2958
205,2019-09-19,5.0225,3428
206,2019-09-18,5.0375,3832
207,2019-09-17,4.9875,2177
