,Date,Close,Volume
0,2020-02-03,,695
1,2020-01-31,1.4887,6011
2,2020-01-30,1.4937,15788
3,2020-01-29,1.5308,17516
4,2020-01-28,1.5032,27994
5,2020-01-27,1.484,31327
6,2020-01-24,1.5152,32730
7,2020-01-23,1.5602,30945
8,2020-01-22,1.5796,33847
9,2020-01-21,1.6365,46844
10,2020-01-17,1.6406,60316
11,2020-01-16,1.6548,60548
12,2020-01-15,1.6368,72693
13,2020-01-14,1.6544,81817
14,2020-01-13,1.6573,73957
15,2020-01-10,1.6596,71131
16,2020-01-09,1.6527,67641
17,2020-01-08,1.6488,101333
18,2020-01-07,1.7222,64447
19,2020-01-06,1.7544,57283
20,2020-01-03,1.7488,73336
21,2020-01-02,1.7042,66718
22,2019-12-31,1.6905,52133
23,2019-12-30,1.724,63012
24,2019-12-27,1.7447,59406
25,2019-12-26,1.7539,45653
26,2019-12-24,1.7274,36859
27,2019-12-23,1.7065,53494
28,2019-12-20,1.7072,58776
29,2019-12-19,1.7097,63306
30,2019-12-18,1.6899,70577
31,2019-12-17,1.6899,50805
32,2019-12-16,1.6678,44746
33,2019-12-13,1.6672,44208
34,2019-12-12,1.635,43443
35,2019-12-11,1.6322,54846
36,2019-12-10,1.656,45264
37,2019-12-09,1.6569,51045
38,2019-12-06,1.6513,46258
39,2019-12-05,1.6259,39284
40,2019-12-04,1.6111,43533
41,2019-12-03,1.5695,42974
42,2019-12-02,1.5805,50238
43,2019-11-29,1.5948,37089
44,2019-11-27,1.6781,32962
45,2019-11-26,1.696,30940
46,2019-11-25,1.6727,33541
47,2019-11-22,1.669,31191
48,2019-11-21,1.6947,27560
49,2019-11-20,1.648,31168
50,2019-11-19,1.5976,22950
51,2019-11-18,1.6172,15441
52,2019-11-15,1.6333,13770
53,2019-11-14,1.6141,25833
54,2019-11-13,1.6299,19926
55,2019-11-12,1.6113,19386
56,2019-11-11,1.6054,25805
57,2019-11-08,1.6204,18577
58,2019-11-07,1.6205,23420
59,2019-11-06,1.6099,20962
60,2019-11-05,1.651,16655
61,2019-11-04,1.6382,18679
62,2019-11-01,1.6271,14416
63,2019-10-31,1.5668,20884
64,2019-10-30,1.5867,18920
65,2019-10-29,1.6141,13236
66,2019-10-28,1.6117,6683
67,2019-10-25,1.6151,7707
68,2019-10-24,1.6049,8489
69,2019-10-23,1.5926,8391
70,2019-10-22,1.5492,7156
71,2019-10-21,1.5398,5137
72,2019-10-18,1.5519,6904
73,2019-10-17,1.56,9130
74,2019-10-16,1.562,8748
75,2019-10-15,1.546,10708
76,2019-10-14,1.5496,8669
77,2019-10-11,1.5673,13706
78,2019-10-10,1.5377,15006
79,2019-10-09,1.5077,12359
80,2019-10-08,1.5034,8019
81,2019-10-07,1.5017,8380
82,2019-10-04,1.4986,8258
83,2019-10-03,1.4804,11426
84,2019-10-02,1.4781,12691
85,2019-10-01,1.5072,11899
86,2019-09-30,1.5092,6924
87,2019-09-27,1.5455,12724
88,2019-09-26,1.5645,5559
89,2019-09-25,1.5527,5549
90,2019-09-24,1.5745,4826
91,2019-09-23,1.6091,4594
92,2019-09-20,1.5938,4749
93,2019-09-19,1.6031,11106
94,2019-09-18,1.5838,8683
95,2019-09-17,1.5993,19708
96,2019-09-16,1.6799,16061
97,2019-09-13,1.5058,5160
98,2019-09-12,1.5075,4978
99,2019-09-11,1.5228,7065
100,2019-09-10,1.5493,4949
101,2019-09-09,1.5484,4179
102,2019-09-06,1.5269,4599
103,2019-09-05,1.5071,4440
104,2019-09-04,1.4964,3293
105,2019-09-03,1.4359,5904
106,2019-08-30,1.4748,3227
107,2019-08-29,1.5109,2867
108,2019-08-28,1.4996,2516
109,2019-08-27,1.4751,2722
110,2019-08-26,1.4503,1343
111,2019-08-23,1.4678,2507
112,2019-08-22,1.4862,2576
113,2019-08-21,1.4994,2602
114,2019-08-20,1.4868,1795
115,2019-08-19,1.4716,2123
116,2019-08-16,1.4573,2156
117,2019-08-15,1.4467,1621
118,2019-08-14,1.4768,3516
119,2019-08-13,1.5215,3273
120,2019-08-12,1.4549,2904
121,2019-08-09,1.4606,1415
122,2019-08-08,1.4316,2756
123,2019-08-07,1.4115,4461
124,2019-08-06,1.4777,3225
125,2019-08-05,1.497,1777
126,2019-08-02,1.5502,1197
127,2019-08-01,1.5243,1930
128,2019-07-31,1.6322,2551
129,2019-07-30,1.6188,1238
130,2019-07-29,1.5933,1152
131,2019-07-26,1.5915,1191
132,2019-07-25,1.5849,1014
133,2019-07-24,1.5745,1988
134,2019-07-23,1.5874,1640
135,2019-07-22,1.5728,1018
136,2019-07-19,1.5635,1255
137,2019-07-18,1.5479,2682
138,2019-07-17,1.5905,718
139,2019-07-16,1.6108,949
140,2019-07-15,1.6552,1953
141,2019-07-12,1.6791,2093
142,2019-07-11,1.6778,3886
143,2019-07-10,1.6871,1815
144,2019-07-09,1.625,1176
145,2019-07-08,1.6137,1678
146,2019-07-05,1.6192,1367
147,2019-07-03,1.6151,2092
148,2019-07-02,1.5801,3417
149,2019-07-01,1.639,3029
150,2019-06-28,1.6191,1724
151,2019-06-27,1.6339,1318
152,2019-06-26,1.6341,3573
153,2019-06-25,1.5873,1151
154,2019-06-24,1.5753,1994
155,2019-06-21,1.5728,2607
156,2019-06-20,1.5497,1239
157,2019-06-19,1.4865,1182
158,2019-06-18,1.4842,1022
159,2019-06-17,1.454,1232
160,2019-06-14,1.475,942
161,2019-06-13,1.4701,648
162,2019-06-12,1.4387,1437
163,2019-06-11,1.4903,590
164,2019-06-10,1.4778,575
165,2019-06-07,1.4874,874
166,2019-06-06,1.4535,680
167,2019-06-05,1.4302,947
168,2019-06-04,1.4733,2426
169,2019-06-03,1.4796,1688
170,2019-05-31,1.5006,2086
171,2019-05-30,1.5783,1069
172,2019-05-29,1.6345,847
173,2019-05-28,1.6448,839
174,2019-05-24,1.622,821
175,2019-05-23,1.5995,1186
176,2019-05-22,1.6801,904
177,2019-05-21,1.7147,239
178,2019-05-20,1.7087,831
179,2019-05-17,1.7116,746
180,2019-05-16,1.7245,1285
181,2019-05-15,1.7058,1210
182,2019-05-14,1.6911,410
183,2019-05-13,1.6727,791
184,2019-05-10,1.6848,1064
185,2019-05-09,1.6798,928
186,2019-05-08,1.6815,902
187,2019-05-07,1.663,1036
188,2019-05-06,1.7052,1008
189,2019-05-03,1.7082,549
190,2019-05-02,1.704,817
191,2019-05-01,1.749,943
192,2019-04-30,1.7521,1021
193,2019-04-29,1.7345,738
194,2019-04-26,1.7395,933
195,2019-04-25,1.7721,465
196,2019-04-24,1.771,1280
197,2019-04-23,1.776,634
198,2019-04-22,1.767,930
199,2019-04-18,1.7345,1002
200,2019-04-17,1.7257,300
201,2019-04-16,1.7309,316
202,2019-04-15,1.7222,474
203,2019-04-12,1.7298,461
204,2019-04-11,1.7173,530
205,2019-04-10,1.7294,1329
206,2019-04-09,1.6941,444
207,2019-04-08,1.6997,270
208,2019-04-05,1.6893,1101
209,2019-04-04,1.6714,268
210,2019-04-03,1.6751,321
211,2019-04-02,1.6754,293
212,2019-04-01,1.6691,94
213,2019-03-29,1.6443,199
214,2019-03-28,1.6203,173
215,2019-03-27,1.6267,283
216,2019-03-26,1.639,186
217,2019-03-25,1.6308,223
218,2019-03-22,1.6317,104
219,2019-03-21,1.6506,188
220,2019-03-20,1.6617,138
221,2019-03-19,1.6408,245
222,2019-03-18,1.6335,214
223,2019-03-15,1.6229,119
224,2019-03-14,1.6246,58
225,2019-03-13,1.6362,296
226,2019-03-12,1.6117,75
227,2019-03-11,1.6098,72
228,2019-03-08,1.5921,271
229,2019-03-07,1.6066,59
230,2019-03-06,1.598,163
231,2019-03-05,1.5901,210
232,2019-03-04,1.5818,361
233,2019-03-01,1.5676,474
234,2019-02-28,1.5887,94
235,2019-02-27,1.5946,165
236,2019-02-26,1.5661,179
237,2019-02-25,1.5526,97
238,2019-02-22,1.6066,161
239,2019-02-21,1.6047,21
240,2019-02-20,1.6008,20
241,2019-02-19,1.5782,30
242,2019-02-15,1.5751,74
243,2019-02-14,1.5286,109
244,2019-02-13,1.5076,75
245,2019-02-12,1.4786,88
246,2019-02-11,1.4639,26
247,2019-02-08,1.4755,79
248,2019-02-07,1.4681,107
249,2019-02-06,1.493,162
250,2019-02-05,1.475,22
251,2019-02-04,1.4848,28
252,2019-02-01,1.4905,35
253,2019-01-31,1.4487,8
254,2019-01-30,1.4755,33
255,2019-01-29,1.4651,55
256,2019-01-28,1.4392,8
257,2019-01-25,1.4833,21
258,2019-01-24,1.4791,36
259,2019-01-23,1.4758,55
260,2019-01-22,1.4806,4
261,2019-01-18,1.5084,1
262,2019-01-17,1.4846,14
263,2019-01-16,1.4857,17
264,2019-01-15,1.4799,76
265,2019-01-14,1.4479,139
266,2019-01-11,1.4812,128
267,2019-01-10,1.5079,20
