,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
1-2,0.011390993797881672,,,,,,,,,,,,,,,,,,,,
1-3,0.012661395650786639,,,,,,,,,,,,,,,,,,,,
1-4,0.011886904118471271,,,,,,,,,,,,,,,,,,,,
1-5,0.009243299700079925,,,,,,,,,,,,,,,,,,,,
1-6,0.00935797590985081,,,,,,,,,,,,,,,,,,,,
1-7,0.011264386603811082,,,,,,,,,,,,,,,,,,,,
1-8,0.013334371612360089,,,,,,,,,,,,,,,,,,,,
1-9,0.013133301833529743,,,,,,,,,,,,,,,,,,,,
1-10,0.015267396691682932,,,,,,,,,,,,,,,,,,,,
1-11,0.016606852691780753,,,,,,,,,,,,,,,,,,,,
1-12,0.016470024722658905,,,,,,,,,,,,,,,,,,,,
1-13,0.013373476757816818,,,,,,,,,,,,,,,,,,,,
1-14,0.010084928090780845,,,,,,,,,,,,,,,,,,,,
1-15,0.006001131466517461,,,,,,,,,,,,,,,,,,,,
1-16,0.0071736696309925175,,,,,,,,,,,,,,,,,,,,
1-17,0.011060099367588921,,,,,,,,,,,,,,,,,,,,
1-18,0.01041223210330726,,,,,,,,,,,,,,,,,,,,
1-19,0.005758664852809509,,,,,,,,,,,,,,,,,,,,
1-20,0.004832365278028058,,,,,,,,,,,,,,,,,,,,
1-21,0.011269511729571675,,,,,,,,,,,,,,,,,,,,
1-22,0.015700797832503662,,,,,,,,,,,,,,,,,,,,
1-23,0.016348171795440708,,,,,,,,,,,,,,,,,,,,
1-24,0.017177691360226646,,,,,,,,,,,,,,,,,,,,
1-25,0.015767184226617565,,,,,,,,,,,,,,,,,,,,
1-26,0.01638258728909616,,,,,,,,,,,,,,,,,,,,
1-27,0.0162153550183028,,,,,,,,,,,,,,,,,,,,
1-28,0.017871719734701284,,,,,,,,,,,,,,,,,,,,
1-29,0.0172080822959326,,,,,,,,,,,,,,,,,,,,
1-30,0.019119853603659507,,,,,,,,,,,,,,,,,,,,
1-31,0.020837672141624103,,,,,,,,,,,,,,,,,,,,
1-32,0.02114222858392434,,,,,,,,,,,,,,,,,,,,
1-33,0.02009285036924153,,,,,,,,,,,,,,,,,,,,
1-34,0.019675343738490825,,,,,,,,,,,,,,,,,,,,
2-3,0.012274982138484323,,,,,,,,,,,,,,,,,,,,
2-4,0.010590796986008287,,,,,,,,,,,,,,,,,,,,
2-5,0.009294274059952406,,,,,,,,,,,,,,,,,,,,
2-6,0.010322093502542484,,,,,,,,,,,,,,,,,,,,
2-7,0.012309823076480392,,,,,,,,,,,,,,,,,,,,
2-8,0.013232902345298414,,,,,,,,,,,,,,,,,,,,
2-9,0.0142109604955578,,,,,,,,,,,,,,,,,,,,
2-10,0.01593335991405547,,,,,,,,,,,,,,,,,,,,
2-11,0.016537779081097832,,,,,,,,,,,,,,,,,,,,
2-12,0.014965603489142927,,,,,,,,,,,,,,,,,,,,
2-13,0.011769375654873269,,,,,,,,,,,,,,,,,,,,
2-14,0.008086079119078797,,,,,,,,,,,,,,,,,,,,
2-15,0.006589380067100148,,,,,,,,,,,,,,,,,,,,
2-16,0.009119949415113224,,,,,,,,,,,,,,,,,,,,
2-17,0.01073224700135159,,,,,,,,,,,,,,,,,,,,
2-18,0.008118066057328576,,,,,,,,,,,,,,,,,,,,
2-19,0.005278904314868124,,,,,,,,,,,,,,,,,,,,
2-20,0.008026375374989559,,,,,,,,,,,,,,,,,,,,
2-21,0.013514218033072484,,,,,,,,,,,,,,,,,,,,
2-22,0.016023078804345493,,,,,,,,,,,,,,,,,,,,
2-23,0.016762175812349074,,,,,,,,,,,,,,,,,,,,
2-24,0.016478852877676472,,,,,,,,,,,,,,,,,,,,
2-25,0.016072569217429406,,,,,,,,,,,,,,,,,,,,
2-26,0.01629777608358084,,,,,,,,,,,,,,,,,,,,
2-27,0.0170509479740081,,,,,,,,,,,,,,,,,,,,
2-28,0.01753964521233865,,,,,,,,,,,,,,,,,,,,
2-29,0.018171650361667006,,,,,,,,,,,,,,,,,,,,
2-30,0.019986116342989434,,,,,,,,,,,,,,,,,,,,
2-31,0.020988962982718632,,,,,,,,,,,,,,,,,,,,
2-32,0.020621989354015973,,,,,,,,,,,,,,,,,,,,
2-33,0.01988400741387975,,,,,,,,,,,,,,,,,,,,
2-34,0.01969647680879944,,,,,,,,,,,,,,,,,,,,
3-4,0.010180321511342494,,,,,,,,,,,,,,,,,,,,
3-5,0.009959128885938981,,,,,,,,,,,,,,,,,,,,
3-6,0.0113523412374651,,,,,,,,,,,,,,,,,,,,
3-7,0.012584047673846268,,,,,,,,,,,,,,,,,,,,
3-8,0.013918283733759862,,,,,,,,,,,,,,,,,,,,
3-9,0.015015740284711062,,,,,,,,,,,,,,,,,,,,
3-10,0.016110097652534426,,,,,,,,,,,,,,,,,,,,
3-11,0.015524033496167542,,,,,,,,,,,,,,,,,,,,
3-12,0.013433930001816792,,,,,,,,,,,,,,,,,,,,
3-13,0.009958157781863045,,,,,,,,,,,,,,,,,,,,
3-14,0.0077732520960551894,,,,,,,,,,,,,,,,,,,,
3-15,0.008094208011278579,,,,,,,,,,,,,,,,,,,,
3-16,0.009540286587454191,,,,,,,,,,,,,,,,,,,,
3-17,0.009115568079196841,,,,,,,,,,,,,,,,,,,,
3-18,0.007033119219887922,,,,,,,,,,,,,,,,,,,,
3-19,0.007207368855384332,,,,,,,,,,,,,,,,,,,,
3-20,0.010669553248959263,,,,,,,,,,,,,,,,,,,,
3-21,0.014469332137331845,,,,,,,,,,,,,,,,,,,,
3-22,0.016407425230374743,,,,,,,,,,,,,,,,,,,,
3-23,0.016433130475667038,,,,,,,,,,,,,,,,,,,,
3-24,0.016444138270425124,,,,,,,,,,,,,,,,,,,,
3-25,0.01611805449335217,,,,,,,,,,,,,,,,,,,,
3-26,0.01682740149022685,,,,,,,,,,,,,,,,,,,,
3-27,0.017100980130519517,,,,,,,,,,,,,,,,,,,,
3-28,0.01806890150932698,,,,,,,,,,,,,,,,,,,,
3-29,0.019077356525396112,,,,,,,,,,,,,,,,,,,,
3-30,0.020372719552043346,,,,,,,,,,,,,,,,,,,,
3-31,0.02069315277755597,,,,,,,,,,,,,,,,,,,,
3-32,0.020309685440809702,,,,,,,,,,,,,,,,,,,,
