,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
1-1,,,,,,,,,,,,,,,,,,0.10451283527403155,0.0653439242595129,0.03599029903712796,0.030483238438814623
1-2,,,,,,,,,,,,,,,,,,0.10295539776271583,0.0662753817333165,0.03579958833948586,0.031147518062009882
1-3,,,,,,,,,,,,,,,,,,0.10254415133506006,0.06629450143315418,0.035919665771748155,0.03092486336161856
1-4,,,,,,,,,,,,,,,,,,0.10529695289570017,0.06679066264190855,0.035742282794086574,0.030479882946025466
1-5,,,,,,,,,,,,,,,,,,0.10937835676962247,0.06659824580330272,0.03634153053357605,0.030293222140076896
1-6,,,,,,,,,,,,,,,,,,0.11477153951529512,0.06707570291782901,0.03630112934974032,0.030200839669396518
1-7,,,,,,,,,,,,,,,,,,0.11240508006560954,0.06730604670997178,0.035959305361895615,0.029912160089211878
1-8,,,,,,,,,,,,,,,,,,0.11104724245196972,0.0670742854537658,0.03594316145527013,0.03007686518367907
1-9,,,,,,,,,,,,,,,,,,0.11216863828186714,0.06751168414832705,0.03533142304865983,0.029227469963531302
1-10,,,,,,,,,,,,,,,,,,0.10961757438025585,0.06632716272258271,0.03484653626867953,0.02858555963429726
1-11,,,,,,,,,,,,,,,,,,0.11238993519940846,0.06650694471296335,0.03488717166378277,0.0285440507741665
1-12,,,,,,,,,,,,,,,,,,0.11252885259411097,0.06830235438992865,0.035199079861846914,0.028360613370390402
1-13,,,,,,,,,,,,,,,,,,0.11192055416898443,0.06987431979815793,0.03506573707566363,0.028523424746932403
1-14,,,,,,,,,,,,,,,,,,0.11238478138349711,0.0716118173727476,0.03539555662041722,0.02824182390711926
1-15,,,,,,,,,,,,,,,,,,0.11618502408534151,0.07101175268649282,0.03655070119779781,0.028209498543068784
1-16,,,,,,,,,,,,,,,,,,0.11456022608624601,0.0701653994902153,0.038513885084733336,0.02803047823623238
1-17,,,,,,,,,,,,,,,,,,0.11866933731295701,0.07149679449138871,0.03411070694819471,0.027947428220684793
1-18,,,,,,,,,,,,,,,,,,0.11683083340975697,0.07074923071939926,0.03646922515417527,0.02749507879006065
1-19,,,,,,,,,,,,,,,,,,0.1187667119219946,0.07004167810665096,0.036774046507503794,0.02706757765342416
1-20,,,,,,,,,,,,,,,,,,0.11934652017842143,0.070555409730536,0.037891413068711764,0.026887106874922233
1-21,,,,,,,,,,,,,,,,,,0.11861491133283136,0.07081727352698411,0.038650342120307386,0.02680757972698179
1-22,,,,,,,,,,,,,,,,,,0.11919780136414622,0.07088072867790753,0.040618077655640704,0.026823179464856923
1-23,,,,,,,,,,,,,,,,,,0.11810785368161282,0.07074749205089545,0.04041184401380769,0.026367486461599025
1-24,,,,,,,,,,,,,,,,,,0.11832651663982584,0.07124932124753705,0.04071860825130798,0.0265897899926899
1-25,,,,,,,,,,,,,,,,,,0.11822144439534733,0.07181477189053902,0.04015622453523666,0.026466410940435062
2-1,,,,,,,,,,,,,,,,,,0.11147369760873732,0.06680143396402073,0.03701776488367331,0.030537371295108733
2-2,,,,,,,,,,,,,,,,,,0.11033657489324704,0.067067159029688,0.03695341475007162,0.030795542599361764
2-3,,,,,,,,,,,,,,,,,,0.11200808780694618,0.06735795753570786,0.036817337712045324,0.030561387971053892
2-4,,,,,,,,,,,,,,,,,,0.11429370794924618,0.06764335068128566,0.03701016281421091,0.03032026312598781
2-5,,,,,,,,,,,,,,,,,,0.11751668089645553,0.06778472729755913,0.037169077542287855,0.030066478364351053
2-6,,,,,,,,,,,,,,,,,,0.11892744830145195,0.06818025841380916,0.03686389899935837,0.029812017894083883
2-7,,,,,,,,,,,,,,,,,,0.11679026664199388,0.06805651185381215,0.03660008831603497,0.0297654419683746
2-8,,,,,,,,,,,,,,,,,,0.11641547311654774,0.06815382804340951,0.03627715051448927,0.02938764626429175
2-9,,,,,,,,,,,,,,,,,,0.11560809326969447,0.06785849364030852,0.03563518529053484,0.028607753560023118
2-10,,,,,,,,,,,,,,,,,,0.11464831924595803,0.06730574321503499,0.03526556763270941,0.0282759143197016
2-11,,,,,,,,,,,,,,,,,,0.11644587881935894,0.06842934853528927,0.03540185124523065,0.028159034783248698
2-12,,,,,,,,,,,,,,,,,,0.11540266503474098,0.07018545095865844,0.03557195272937875,0.028113650281393746
