,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
1-1,-0.012641963943781344,0.05806149463587156,0.027245857543397475,0.09896854032438535,0.0847327867860358,0.0510948201277019,0.009469600263673064,0.05778041791957941,-0.07149862282053528,0.09138477908320514,0.05537577368203901,-0.14440184934378086,0.11635562719391106,0.08122958034651102,0.04541341855817003,0.1613768844054076,0.11320370825212941,0.10451283527403155,0.0653439242595129,0.03599029903712796,0.030483238438814623
1-2,-0.011803011499967694,0.058512384059102834,0.027209823910867532,0.09872725860207571,0.08742990392828602,0.051338701219532476,0.006651866342128881,0.05909317953722948,-0.0714371954760108,0.09114658562593661,0.05775263513311231,-0.14477671635950637,0.11651615256628518,0.08311813234329501,0.045662317357226194,0.1601264196990448,0.11247033333970109,0.10295539776271583,0.0662753817333165,0.03579958833948586,0.031147518062009882
1-3,0.05202132769226278,0.0585591988873201,0.027204539011903468,0.09891208252401511,0.09000912909099686,0.051337916487150005,0.006437206067342447,0.05713388339124823,-0.07252822281266094,0.09232810581112348,0.06114199412494958,-0.14455419286453505,0.11600987003041804,0.08273055183475532,0.045280113047041465,0.1599719906608456,0.11608034169734237,0.10254415133506006,0.06629450143315418,0.035919665771748155,0.03092486336161856
1-4,0.052066235578906245,0.05863707003196268,0.027256113200110895,0.09873215728671997,0.08928119326115559,0.05137542271120293,0.010381927204294244,0.05685433336816649,-0.07126637581134186,0.09329898216871152,0.06391365494372873,-0.14449629108811746,0.11608040762852437,0.08579820088131115,0.045243548351029145,0.16367877025356048,0.11619715940179552,0.10529695289570017,0.06679066264190855,0.035742282794086574,0.030479882946025466
1-5,0.05216485116974147,0.05816157417654756,0.027200068087423673,0.09892100508853242,0.08727746811581759,0.051569542929188854,0.010866839192988679,0.0590094035027666,-0.07131872803725925,0.09225832549040305,0.06373691754628659,-0.14442497651771535,0.11617290491423943,0.08731953881653176,0.0452647675834344,0.16466736761433542,0.11528261409848471,0.10937835676962247,0.06659824580330272,0.03634153053357605,0.030293222140076896
1-6,0.052053633093182075,0.05801616087421816,0.027306126410280872,0.0987893369259664,0.08947064313884781,0.05150156210373713,0.005258404104244301,0.05860069136025695,-0.07160099685441719,0.09356438667613573,0.061998269843201954,-0.1446978983410124,0.11323183922872064,0.08872298682942449,0.04543599820572629,0.16691695378252047,0.11817290452305082,0.11477153951529512,0.06707570291782901,0.03630112934974032,0.030200839669396518
1-7,0.052362680084174655,0.059492721010203066,0.027350351159124108,0.09892633068310534,0.09046111400893421,0.05169789637157669,0.0049321080806826526,0.06105128238454768,-0.07189061499096698,0.09619561813886351,0.060591680596102135,-0.14438537860607698,0.11690228485580749,0.08827148951118459,0.045181258046239105,0.1658166745589757,0.11630212949019525,0.11240508006560954,0.06730604670997178,0.035959305361895615,0.029912160089211878
1-8,0.052408458442109854,0.060071571555540104,0.027411606750623048,0.09864230522421666,0.08939078079283966,0.05160152532483691,0.01002835427535238,0.05874425395880702,-0.07150257689141647,0.09660322529975904,0.058338721469077245,-0.14441982715212193,0.12311500584505657,0.08890329193555797,0.04512778668270231,0.1642890867062392,0.11609941531757026,0.11104724245196972,0.0670742854537658,0.03594316145527013,0.03007686518367907
1-9,0.0524869636302925,0.06086696108516805,0.027444304837046917,0.09913949780624051,0.0879081991574939,0.05153338998128233,0.008281228154083222,0.06041205018541374,-0.07134379549165659,0.09689704728810776,0.05380780096451731,-0.14428264297921073,0.1205123237367899,0.08830310809470014,0.04502573369250182,0.15928620435024743,0.11938532304532234,0.11216863828186714,0.06751168414832705,0.03533142304865983,0.029227469963531302
1-10,0.052818332993130476,0.06161087222131045,0.027465737175970926,0.09893160971133702,0.08870165452862518,0.05156532360626531,0.0027581252846429764,0.061468835969911755,-0.07136799651147038,0.09845457600564167,0.054589692964023766,-0.14436871155076056,0.11818203310389615,0.08932863759634041,0.045470099463426665,0.16600666227534347,0.11831562023800724,0.10961757438025585,0.06632716272258271,0.03484653626867953,0.02858555963429726
1-11,0.05254490468251909,0.061218830221577446,0.027497420605485073,0.09902136123250192,0.08891856040022424,0.051472109995806946,-0.0018138067676308567,0.060290423671298506,-0.07149580669300626,0.0980599277917068,0.05264856644549021,-0.14434956538829452,0.11980320683451785,0.08933371316040854,0.045396135634126054,0.16370754825407305,0.11983199754033838,0.11238993519940846,0.06650694471296335,0.03488717166378277,0.0285440507741665
1-12,0.05271768250461827,0.06165431207763747,0.027507068964263637,0.09892432336582692,0.08786338029527023,0.051684512277792825,-0.013966232640591438,0.062315707386073005,-0.07156782300209423,0.09857415516307595,0.052455538741379655,-0.14404199378836657,0.12005388312076996,0.08801057534548426,0.04543712056783913,0.17424659772265738,0.12312453028321768,0.11252885259411097,0.06830235438992865,0.035199079861846914,0.028360613370390402
1-13,0.052685440597341086,0.061726655441109106,0.027499181142992445,0.09899594079259262,0.08993434626505897,0.051505041886532564,0.0005359422100240397,0.06206213317300785,-0.07141722850280309,0.09903986031854883,0.055850293933430405,-0.1441259485874339,0.11618750982022306,0.0893985222708226,0.0454672679388678,0.17614896988815731,0.12321164375355025,0.11192055416898443,0.06987431979815793,0.03506573707566363,0.028523424746932403
1-14,0.05273576730849691,0.06164085835858467,0.02749664130071928,0.09897393762924928,0.08925796916873087,0.051397964882462385,0.0037560020438820183,0.060351609760019964,-0.07148951821527746,0.09934787051080361,0.05665258554747639,-0.14378743519961654,0.11832124341076303,0.08962398838120182,0.04544596458983649,0.18063691535669094,0.12320370090492447,0.11238478138349711,0.0716118173727476,0.03539555662041722,0.02824182390711926
1-15,0.05242061012479137,0.06160639992243672,0.027512971429755673,0.09901227899035114,0.08913787140443043,0.05148595533569225,0.0038026630363403573,0.06055306282415211,-0.07123951905996297,0.10044595248773504,0.061409780204778934,-0.14394442075541009,0.11587251659730968,0.09260411921032215,0.04561328019025146,0.18236822071322573,0.12334928589047901,0.11618502408534151,0.07101175268649282,0.03655070119779781,0.028209498543068784
1-16,0.05206710249416969,0.062145088818394846,0.027488475988198667,0.0990129135914282,0.08845270842975379,0.051487731883249704,0.01291269313189013,0.06218952925532641,-0.07115318465853962,0.09940737890185813,0.06304809195902415,-0.14400344955373423,0.11221367139916133,0.09174555904523801,0.04552451789681186,0.1838196696009778,0.1220797825059261,0.11456022608624601,0.0701653994902153,0.038513885084733336,0.02803047823623238
1-17,0.052025284687072286,0.06230715151838732,0.027477768456757846,0.09881481844808455,0.08849654084191158,0.051287938461592804,0.016218280668963803,0.06366877512100001,-0.0711659758391466,0.0991151108077314,0.06484684823702863,-0.14319093867330246,0.12478762765285813,0.09246786740702344,0.04528713109229886,0.19047338943660871,0.12331083270950989,0.11866933731295701,0.07149679449138871,0.03411070694819471,0.027947428220684793
1-18,0.050939176726371216,0.06287181855693731,0.027539640853274625,0.09872533354292594,0.08809597547071944,0.05131150107375201,0.0170334738836946,0.062461711718736324,-0.07133800926273998,0.10053862174601202,0.06442113104530847,-0.1429811752343263,0.12469829814554877,0.09234035141365345,0.04508301657614127,0.18812783075933506,0.12428378194628421,0.11683083340975697,0.07074923071939926,0.03646922515417527,0.02749507879006065
1-19,0.052448521570917526,0.06252283122443017,0.027485820110071075,0.09886415155188258,0.08979421164691909,0.05165654505332229,0.0246880290182504,0.061984473849322354,-0.07137950944562366,0.0998756214536231,0.06825548671187205,-0.14341951437915879,0.12339434661116593,0.09260294151186632,0.04525188706133165,0.18658954548587403,0.12204617815998896,0.1187667119219946,0.07004167810665096,0.036774046507503794,0.02706757765342416
1-20,0.05215297174004408,0.06336660108452206,0.027505110305889584,0.098916395276166,0.09074293378707184,0.05166521287581095,0.02426923703818342,0.06109413286531942,-0.0714894583298166,0.10045519549568621,0.06862697646726432,-0.14352882622859242,0.12383039447447364,0.0909873117981962,0.045539656328503715,0.18964754967859,0.12222931496949713,0.11934652017842143,0.070555409730536,0.037891413068711764,0.026887106874922233
1-21,0.05026882748521439,0.06291637147123505,0,0.09880149808698388,0.09033707469774727,0.051537470086358596,0.025083058361117832,0.06149163210275926,0,0.10190641137826752,0.07105450118788151,-0.14294663294956547,0.12498935317138524,0.08993028623775925,0.04527443873066662,0.19041196988585127,0.12145860800230754,0.11861491133283136,0.07081727352698411,0.038650342120307386,0.02680757972698179
1-22,0.0489535828518896,0.06371941646922175,0,0.09897588467681037,0.09196494369272441,0.051614956415874484,0.02581642563611532,0.06059501638505677,0,0.10099733773099767,0.07167526642135168,-0.14323124050529681,0.1282478135065704,0.09029951355237756,0.045190774281332384,0.19083643335615633,0.12215224478098978,0.11919780136414622,0.07088072867790753,0.040618077655640704,0.026823179464856923
1-23,0.05233031825982153,0.06459576955897331,0,0,0.09091560625263523,0.05210602541915516,0.025242697799713915,0.05965645558708678,0,0.10116553955413977,0.073275926983126,-0.1430798220041859,0.12834522718105756,0.09249493718536331,0.0451991695626807,0.19255548869168904,0.12206665651841139,0.11810785368161282,0.07074749205089545,0.04041184401380769,0.026367486461599025
1-24,0.05299038434959288,0.0645253297000202,0,0,0.09105380185098405,0.05180691831352162,0.02437934973397479,0.05898646064916303,0,0.10112464520459348,0.07398420767630622,-0.14295889418220759,0.1255920293177279,0.09243028886585782,0.04489732839103115,0.1915700402693371,0.12284941318309893,0.11832651663982584,0.07124932124753705,0.04071860825130798,0.0265897899926899
